MSA,Year,ImportShock,ImportShock_IV,GovTransfer_PerCapita,ExcessSavingsRate,UnemploymentRate
MSA_100,2010,8.801411732577286e-5,7.600409306311548e-5,468.7758938409388,0.04816319131292403,0.07269307299982757
MSA_100,2011,1.1293377017014685e-4,1.031310120321211e-4,408.69804916437715,0.044818905834108594,0.033382646210957316
MSA_100,2012,1.1400418718861113e-4,9.427628780572815e-5,277.7746004983783,0.03771158542484045,0.04298340287758037
MSA_100,2013,1.0087515373873019e-4,9.284928120161822e-5,246.23273219913244,0.021545766489580273,0.07782109522493556
MSA_100,2014,9.933104819000406e-5,9.882302555467948e-5,309.2571562156081,0.024716726168990136,0.07858167739585042
MSA_100,2015,1.2096113793006373e-4,1.0718003681374011e-4,421.68233857955784,0.04653444517403841,0.0666690006107092
MSA_100,2016,1.1637202637978614e-4,9.782984531870115e-5,446.8466758262366,0.04642042375169694,0.0589017319213599
MSA_100,2017,1.0476728162719236e-4,8.64553545759382e-5,268.2971246074885,0.036941600702703,0.05863227755296976
MSA_100,2018,9.333928189150975e-5,8.182192177517599e-5,235.34608522895724,0.02395394369959831,0.07138924828730524
MSA_100,2019,9.725335538500247e-5,8.376363700289149e-5,306.7510884953663,0.027827239893376828,0.037830574165564027
MSA_100,2020,1.1427994745661778e-4,9.767628057398361e-5,2673.823837796226,0.13422677433816715,0.06687746577197685
MSA_100,2021,1.2503047425932017e-4,1.070620618587023e-4,2285.369566339068,0.14874902939656748,0.06581522947642952
MSA_100,2022,1.0274045458500745e-4,8.96877335847755e-5,2976.1847702786326,0.04775038405554369,0.07546391615876928
MSA_100,2023,9.85723689769913e-5,8.863804126751038e-5,919.9479975737631,0.15369715966982767,0.07289856108371169
MSA_100,2024,1.0583568587130899e-4,9.947220991423466e-5,2284.252110728994,0.034810659578070044,0.05961002305382863
MSA_100,2025,1.1132423864074667e-4,1.011499582497687e-4,2140.1344451121986,0.03248329288326204,0.06770209861686453
MSA_101,2010,8.300039663259347e-5,6.917951485210059e-5,392.5612695980817,0.0208098928257823,0.038976169035304334
MSA_101,2011,9.976345030881972e-5,8.195544157304356e-5,409.9137928104028,0.028143974551931024,0.03461507366271689
MSA_101,2012,1.1620390009826712e-4,9.270547229416599e-5,491.9839556561783,0.03733675038442016,0.0700347638526
MSA_101,2013,1.0470499473022144e-4,9.708199912946154e-5,375.3729574382305,0.04602624852210283,0.032013492200057954
MSA_101,2014,9.15481919436798e-5,8.724346580246879e-5,300.59476299211383,0.04227245392277837,0.07318097761133686
MSA_101,2015,1.0323531300086024e-4,9.578008913153072e-5,354.25209449604154,0.02401220823638141,0.07937150882324204
MSA_101,2016,1.0138394166655672e-4,9.166868727762807e-5,340.22397741209716,0.03802744390442968,0.06093032722827047
MSA_101,2017,9.698922313193418e-5,8.310813948614566e-5,467.02066590078175,0.026003373693674805,0.06651667441008613
MSA_101,2018,1.0451791764493499e-4,9.039896481903609e-5,386.8680474581197,0.044982695020735264,0.03557277387706563
MSA_101,2019,1.1002694035807287e-4,9.554647268190842e-5,493.55889766011387,0.01444400285370648,0.056547123456839474
MSA_101,2020,1.2622029204894375e-4,1.151344378971008e-4,1377.2397302789614,0.14870225671911613,0.06993438598699868
MSA_101,2021,1.242840050508846e-4,1.157818906877876e-4,1600.3665108932182,0.05543622751487419,0.03424754889681935
MSA_101,2022,1.0163141564758329e-4,8.660730174185913e-5,2672.5047710351646,0.05217410873854533,0.05189187034964562
MSA_101,2023,9.836072852166365e-5,8.783368224364714e-5,1978.95067546051,0.1011034198058769,0.07251087686279789
MSA_101,2024,9.980688560346253e-5,8.545484326762322e-5,1169.5403407560661,0.0454970601759851,0.05697416215669364
MSA_101,2025,9.912867320564061e-5,8.62467625989838e-5,2396.4515834813938,0.03754321422427893,0.06413167413091288
MSA_102,2010,7.695673134335353e-5,6.994772229441114e-5,436.06424224562943,0.0139677276276052,0.07270783443935215
MSA_102,2011,1.0886557869644512e-4,8.482889947662488e-5,479.48604056145996,0.04722385001368821,0.05819852934917435
MSA_102,2012,1.1623171574512002e-4,9.547111440192089e-5,459.58059758413583,0.04124553262256086,0.043132112042512744
MSA_102,2013,1.0295785134318216e-4,9.36537090703793e-5,254.25785491243005,0.03175256174057722,0.044829931897111236
MSA_102,2014,1.0271345681140795e-4,9.925853589121029e-5,329.7886902000755,0.03565851534716785,0.07818489238386973
MSA_102,2015,1.1240053871570534e-4,1.0183757271177446e-4,487.54097225610167,0.0457198478281498,0.03440302342176437
MSA_102,2016,9.270355312743185e-5,8.1105887671151e-5,359.65988056268543,0.03779049826785922,0.0732630610303022
MSA_102,2017,9.278701673981699e-5,7.651466603814875e-5,224.61691193748266,0.04453029953874648,0.054507999478373675
MSA_102,2018,1.1418712833098443e-4,9.499041866036467e-5,320.82866998389363,0.03812989192083478,0.0552061698352918
MSA_102,2019,1.1217956784984143e-4,1.0014574312070581e-4,386.07480411883444,0.040512622371315955,0.07959696924779565
MSA_102,2020,1.071017497443e-4,9.305163901385855e-5,1263.8645512983203,0.060310374435503036,0.0520213575172238
MSA_102,2021,1.27079943213255e-4,1.1143842028099683e-4,2249.495832971297,0.1507846549223177,0.048699880153872076
MSA_102,2022,1.0705129410433572e-4,9.544002994530299e-5,1246.6170937055722,0.09427757224999368,0.05806591417174786
MSA_102,2023,1.0342311090413924e-4,8.607489579621467e-5,3287.1922554215416,0.10201599132735283,0.05781173163093627
MSA_102,2024,1.1800641039817171e-4,1.0255646229696134e-4,1009.1613992117345,0.021978637510910632,0.03878650466911494
MSA_102,2025,1.0923460508108218e-4,9.319892556839063e-5,2655.394475813955,0.03977223719470203,0.06455204877536744
MSA_103,2010,8.00162708456962e-5,7.002584161046824e-5,495.0182137545198,0.0316693093534559,0.04373887177323923
MSA_103,2011,1.0207172034609449e-4,8.315787131940221e-5,392.17378846369684,0.04252256928011775,0.03314426055410877
MSA_103,2012,1.0843248763690841e-4,8.978728764590533e-5,439.83882796019316,0.012655709786340594,0.07391947659896687
MSA_103,2013,9.413042650854643e-5,8.259918242604424e-5,270.4301495105028,0.02866269554011524,0.07462481742957607
MSA_103,2014,9.161120516935182e-5,8.685686693418329e-5,411.0222730319947,0.03946807371452451,0.0737610516208224
MSA_103,2015,1.0831650303361202e-4,9.79295832693563e-5,355.1618472672999,0.016079113287851214,0.07931607592152431
MSA_103,2016,9.933389121497842e-5,8.607582964731926e-5,463.70250303298235,0.02682094141840935,0.03279900834430009
MSA_103,2017,1.0044412271903626e-4,8.42216675689228e-5,389.6351880626753,0.013684926414862275,0.05561885678442195
MSA_103,2018,1.1231871358092658e-4,9.845227853737398e-5,288.80587965250015,0.03621765047311783,0.0675571678741835
MSA_103,2019,1.0403778860549825e-4,9.343555786687271e-5,360.37930322345346,0.042948001110926275,0.036910351151600476
MSA_103,2020,1.2645017214278726e-4,1.1867720974962646e-4,1514.4144842168316,0.06542204349534586,0.036784893386065956
MSA_103,2021,1.145909436607624e-4,1.0282621771682335e-4,2008.7794484570622,0.08558321738615632,0.06588979300111532
MSA_103,2022,1.137213829008073e-4,9.97772698262128e-5,2077.0003140205517,0.14462166185490788,0.03176056930795312
MSA_103,2023,9.726751971937313e-5,8.683953279879864e-5,824.6372422669083,0.08809347862610595,0.06913160659139976
MSA_103,2024,1.0755905493373344e-4,1.0179607131692671e-4,1602.7631337521598,0.024674019627273083,0.07350525469053537
MSA_103,2025,8.625903642979529e-5,7.835097385495265e-5,1127.3899784777313,0.04075755206868053,0.07372851805528625
MSA_104,2010,9.414660698069867e-5,8.057210332863218e-5,241.1890339339152,0.04785609030164778,0.037335388334468006
MSA_104,2011,1.0985334440479122e-4,9.21907274214685e-5,372.46442411560565,0.02949987456202507,0.03858120829798281
MSA_104,2012,1.0792890261253184e-4,8.77475180564417e-5,203.18151095416397,0.0370545066986233,0.05207310133380815
MSA_104,2013,1.154477531711304e-4,1.0811350696012008e-4,426.59923234023154,0.025401236079633238,0.05779374907258898
MSA_104,2014,8.99169576192533e-5,8.870750786851828e-5,391.44273451529443,0.021914737299084663,0.03386969849932939
MSA_104,2015,1.0140252712034241e-4,9.29977633591225e-5,293.80541555583477,0.024233918422833085,0.07018887968268246
MSA_104,2016,1.0429024443955339e-4,8.893507984604003e-5,370.34262132365257,0.013731793602928519,0.047007129522971806
MSA_104,2017,9.429916101901205e-5,7.518147061646501e-5,423.1093658367172,0.030405897730961442,0.03233602126827463
MSA_104,2018,1.0278931555083273e-4,9.307605970429422e-5,495.0515592703596,0.043254303354769943,0.06485046646092087
MSA_104,2019,1.123018910446864e-4,9.886185121626992e-5,347.24643339868635,0.015231858203187586,0.05071182812796906
MSA_104,2020,1.2111385246454386e-4,1.0760604558157434e-4,2878.0693265609443,0.14583013436989858,0.031451809529680755
MSA_104,2021,1.2679263922572249e-4,1.178167475643592e-4,2536.5232167067006,0.11248686666134745,0.07548421239014715
MSA_104,2022,1.0332155750600924e-4,9.515627976625027e-5,2322.989244060591,0.09944718928541987,0.04592116255778819
MSA_104,2023,1.1189573784743907e-4,1.0145836956028457e-4,1711.0655916389078,0.12124256236711517,0.07447862866800278
MSA_104,2024,1.0810043556577175e-4,9.8894537679503e-5,2147.944384627044,0.0243974469602108,0.06559536127140746
MSA_104,2025,1.0273972414242203e-4,9.2078816999648e-5,1411.2594690406695,0.02600991372950375,0.07956792166922241
MSA_105,2010,8.448815266971759e-5,6.842644533893283e-5,484.96992285363376,0.029390042340382935,0.07640832572476938
MSA_105,2011,1.1788582016634056e-4,1.0387049606840783e-4,489.50036177411675,0.04151610003784299,0.05349266892997548
MSA_105,2012,1.1513025982859319e-4,9.412992330696922e-5,481.9635274587199,0.022577327685430647,0.03942498311633244
MSA_105,2013,9.285319696933666e-5,8.897053151920183e-5,361.52246608398855,0.0482727827783674,0.05098826682195067
MSA_105,2014,1.0164720875931029e-4,9.618944424075656e-5,346.4435822330415,0.027108654845505953,0.06730658072745428
MSA_105,2015,1.1175702009211097e-4,9.930427386123479e-5,350.50757536664605,0.027104900646954776,0.07748490762431175
MSA_105,2016,1.0721750461200745e-4,9.366055821601685e-5,422.118572704494,0.03834845584817231,0.04060104676289484
MSA_105,2017,1.0788841713699009e-4,8.644937894736345e-5,427.9620185261592,0.0215158109087497,0.06796160620404408
MSA_105,2018,9.485361088703965e-5,8.442890739084712e-5,445.37560739554465,0.01133334580808878,0.061155108218081296
MSA_105,2019,1.2010479198787863e-4,1.0590925258701579e-4,273.1607239227742,0.02543229464441538,0.04729500243673101
MSA_105,2020,1.1685653168333659e-4,1.0125643267573264e-4,2540.400647884235,0.06404055495513603,0.07130795736564323
MSA_105,2021,1.1763901967187152e-4,1.0640166434221008e-4,2719.0223545301706,0.15291888184612618,0.04641727185342461
MSA_105,2022,1.1267527300687553e-4,1.0235877899538259e-4,895.2403569594026,0.05715399067848921,0.05918502455577254
MSA_105,2023,9.558157763731357e-5,8.151433132259072e-5,2401.714080106467,0.09116319443797694,0.07919348913244903
MSA_105,2024,1.0635999062459067e-4,9.893792413198463e-5,2090.351719572209,0.0298687900044024,0.05879277558531612
MSA_105,2025,1.059329886666338e-4,9.785403372960231e-5,2335.1583085255697,0.03147401247173548,0.046345131071284414
MSA_106,2010,7.182392229645311e-5,5.7252961685930854e-5,257.21317378338426,0.019444972816854717,0.033133741696365175
MSA_106,2011,1.0759869936793959e-4,9.690492145489399e-5,360.02992377616465,0.035570617597550154,0.06779690352967009
MSA_106,2012,1.1762385576989518e-4,9.589268429799534e-5,247.71384766791016,0.03710181408561766,0.03388006381690502
MSA_106,2013,9.31862995115137e-5,8.272669954792845e-5,269.05335744377226,0.035568354884162545,0.06498672632267699
MSA_106,2014,9.067762262860525e-5,8.541526805341727e-5,470.7026192219928,0.04133842498995364,0.03517016071826219
MSA_106,2015,1.0986168412179608e-4,1.0551916409681138e-4,456.53768070042133,0.032355524031445385,0.07406541722128168
MSA_106,2016,1.1185857775809444e-4,9.697548444877434e-5,419.0199642209336,0.02167025693692267,0.04131104795495048
MSA_106,2017,1.042339699399719e-4,8.904491569479699e-5,260.607802728191,0.03529275342822075,0.05202766552800313
MSA_106,2018,9.936100082940885e-5,8.427008466502378e-5,268.72585888486356,0.035711213778704405,0.0742021123599261
MSA_106,2019,1.1943860892662927e-4,1.065804502817599e-4,264.648946095258,0.048540993463248014,0.051570764563512055
MSA_106,2020,1.1544934158193487e-4,1.0497044615207409e-4,2686.1206675181165,0.0574570119054988,0.06743209035601468
MSA_106,2021,1.2472992621578773e-4,1.1118807926410471e-4,1408.129079802893,0.1778653437178582,0.07704341371543706
MSA_106,2022,9.618790519874261e-5,8.236500043177625e-5,1402.1233455045149,0.09483983044978231,0.04538400474237278
MSA_106,2023,1.1417510101958576e-4,1.044273349864844e-4,908.5109997540712,0.1259412306151353,0.0510882251500152
MSA_106,2024,1.1381088069538542e-4,9.850381378038222e-5,1339.4667192129418,0.03669450527057052,0.036532510404940696
MSA_106,2025,1.0107368372952608e-4,9.37453052710448e-5,1689.9149661883712,0.01527917434461415,0.06134282211540267
MSA_107,2010,8.461906846719206e-5,7.220555104595469e-5,379.0830517420545,0.022145685572177172,0.06641050477745011
MSA_107,2011,1.1471447114184381e-4,9.838160243734683e-5,336.80423237383366,0.045255944756791,0.07790867394767702
MSA_107,2012,1.2244281787594118e-4,1.0467688207035556e-4,477.1644313586876,0.04538099866360426,0.03159266786649823
MSA_107,2013,8.785561995846215e-5,8.319693757637016e-5,375.5923369899392,0.01340622065588832,0.04304836522322148
MSA_107,2014,1.058760254658441e-4,9.945605293719704e-5,420.057837665081,0.023991114543750882,0.07077977305278182
MSA_107,2015,1.119231355023957e-4,9.844420455267026e-5,209.9329769378528,0.02960112189874053,0.04754282052861527
MSA_107,2016,8.845709327790342e-5,8.151304753504161e-5,441.22122179251164,0.04820028086192906,0.05316661170916632
MSA_107,2017,9.866504066312996e-5,8.477393832194931e-5,395.2292988775298,0.020094108860939743,0.03670945202000439
MSA_107,2018,9.97776737539271e-5,7.740527046514333e-5,357.83302471973,0.04799524124711752,0.05494492758996785
MSA_107,2019,9.886109306547579e-5,8.943253671768784e-5,460.60539623722434,0.01726654033176601,0.05598333682399243
MSA_107,2020,1.1050807572657652e-4,1.0183636664483413e-4,1143.2313971687108,0.18285271309083329,0.05479817598359659
MSA_107,2021,1.1995556365162634e-4,1.0501038483431566e-4,2390.365195949562,0.055811041195411235,0.033550630493555215
