Horizon,Type,Point_Estimate,SE,CI_Lower,CI_Upper
0,Tradeable CPI,-88.12303282083701,118.75881868392743,-320.8903174413348,144.64425179966074
0,Non-Tradeable CPI,13.690502470973438,94.49402512201523,-171.51778676817642,198.89879171012328
1,Tradeable CPI,162.7206173585284,172.3967211686261,-175.17695613197878,500.61819084903556
1,Non-Tradeable CPI,94.78852165425002,100.25988603384677,-101.72085497208965,291.2978982805897
2,Tradeable CPI,24.43322220690416,173.61066402823715,-315.8436792884407,364.71012370224895
2,Non-Tradeable CPI,-66.5202540179148,105.19666615135137,-272.70571967456345,139.66521163873387
3,Tradeable CPI,-37.69804045104881,177.72907154607577,-386.0470206813573,310.65093977925966
3,Non-Tradeable CPI,130.6355390025093,108.9823437226586,-82.96985469390157,344.2409326989201
4,Tradeable CPI,-174.70485853148642,176.42332689846444,-520.4945792524768,171.0848621895039
4,Non-Tradeable CPI,50.63542010827075,111.9030857587158,-168.69462797881224,269.96546819535376
5,Tradeable CPI,-24.134094865133772,183.13032096401946,-383.0695239546119,334.8013342243444
5,Non-Tradeable CPI,-90.26325526656314,118.947050369941,-323.3994739916475,142.8729634585212
