Series_ID,Year,Month,Value
CUUR0000SAA,2025,1,128.464
CUUR0000SAA,2024,12,127.354
CUUR0000SAA,2024,11,129.542
CUUR0000SAA,2024,10,133.179
CUUR0000SAA,2024,9,135.537
CUUR0000SAA,2024,8,131.683
CUUR0000SAA,2024,7,129.466
CUUR0000SAA,2024,6,131.525
CUUR0000SAA,2024,5,132.433
CUUR0000SAA,2024,4,133.502
CUUR0000SAA,2024,3,133.64
CUUR0000SAA,2024,2,131.985
CUUR0000SAA,2024,1,127.946
CUUR0000SAA,2023,12,125.794
CUUR0000SAA,2023,11,128.093
CUUR0000SAA,2023,10,132.786
CUUR0000SAA,2023,9,133.157
CUUR0000SAA,2023,8,131.262
CUUR0000SAA,2023,7,129.172
CUUR0000SAA,2023,6,130.51
CUUR0000SAA,2023,5,131.382
CUUR0000SAA,2023,4,131.762
CUUR0000SAA,2023,3,133.112
CUUR0000SAA,2023,2,132.039
CUUR0000SAA,2023,1,127.875
CUUR0000SAA,2022,12,124.587
CUUR0000SAA,2022,11,126.728
CUUR0000SAA,2022,10,129.414
CUUR0000SAA,2022,9,130.143
CUUR0000SAA,2022,8,127.328
CUUR0000SAA,2022,7,125.188
CUUR0000SAA,2022,6,126.619
CUUR0000SAA,2022,5,126.97
CUUR0000SAA,2022,4,127.126
CUUR0000SAA,2022,3,128.919
CUUR0000SAA,2022,2,127.868
CUUR0000SAA,2022,1,124.079
CUUR0000SAA,2021,12,121.068
CUUR0000SAA,2021,11,122.383
CUUR0000SAA,2021,10,124.323
CUUR0000SAA,2021,9,123.406
CUUR0000SAA,2021,8,121.194
CUUR0000SAA,2021,7,119.078
CUUR0000SAA,2021,6,120.324
CUUR0000SAA,2021,5,120.951
CUUR0000SAA,2021,4,120.656
CUUR0000SAA,2021,3,120.746
CUUR0000SAA,2021,2,119.998
CUUR0000SAA,2021,1,117.785
CUUR0000SAA,2020,12,114.434
CUUR0000SAA,2020,11,116.602
CUUR0000SAA,2020,10,119.172
CUUR0000SAA,2020,9,119.354
CUUR0000SAA,2020,8,116.299
CUUR0000SAA,2020,7,114.267
CUUR0000SAA,2020,6,114.734
CUUR0000SAA,2020,5,114.582
CUUR0000SAA,2020,4,118.394
CUUR0000SAA,2020,3,123.815
CUUR0000SAA,2020,2,124.438
CUUR0000SAA,2020,1,120.853
CUUR0000SAA,2019,12,119.111
CUUR0000SAA,2019,11,122.986
CUUR0000SAA,2019,10,126.154
CUUR0000SAA,2019,9,127.009
CUUR0000SAA,2019,8,123.641
CUUR0000SAA,2019,7,122.161
CUUR0000SAA,2019,6,123.749
CUUR0000SAA,2019,5,124.429
CUUR0000SAA,2019,4,125.542
CUUR0000SAA,2019,3,125.785
CUUR0000SAA,2019,2,125.631
CUUR0000SAA,2019,1,122.422
CUUR0000SAA,2018,12,120.526
CUUR0000SAA,2018,11,124.935
CUUR0000SAA,2018,10,129.108
CUUR0000SAA,2018,9,127.44
CUUR0000SAA,2018,8,122.447
CUUR0000SAA,2018,7,122.831
CUUR0000SAA,2018,6,125.382
CUUR0000SAA,2018,5,128.362
CUUR0000SAA,2018,4,129.365
CUUR0000SAA,2018,3,128.604
CUUR0000SAA,2018,2,126.587
CUUR0000SAA,2018,1,122.266
CUUR0000SAA,2017,12,120.614
CUUR0000SAA,2017,11,125.398
CUUR0000SAA,2017,10,129.57
CUUR0000SAA,2017,9,128.15
CUUR0000SAA,2017,8,124.147
CUUR0000SAA,2017,7,122.485
CUUR0000SAA,2017,6,124.63
CUUR0000SAA,2017,5,126.563
CUUR0000SAA,2017,4,128.349
CUUR0000SAA,2017,3,128.25
CUUR0000SAA,2017,2,126.1
CUUR0000SAA,2017,1,123.088
CUUR0000SAA,2016,12,122.637
CUUR0000SAA,2016,11,127.377
CUUR0000SAA,2016,10,130.328
CUUR0000SAA,2016,9,128.429
CUUR0000SAA,2016,8,124.871
CUUR0000SAA,2016,7,123.03
CUUR0000SAA,2016,6,125.472
CUUR0000SAA,2016,5,127.758
CUUR0000SAA,2016,4,127.77
CUUR0000SAA,2016,3,127.427
CUUR0000SAA,2016,2,125.567
CUUR0000SAA,2016,1,121.878
CUUR0000SAA,2015,12,122.792
CUUR0000SAA,2015,11,127.039
CUUR0000SAA,2015,10,129.446
CUUR0000SAA,2015,9,128.54
CUUR0000SAA,2015,8,124.547
CUUR0000SAA,2015,7,122.607
CUUR0000SAA,2015,6,124.954
CUUR0000SAA,2015,5,127.083
CUUR0000SAA,2015,4,128.593
CUUR0000SAA,2015,3,128.245
CUUR0000SAA,2015,2,124.457
CUUR0000SAA,2015,1,122.527
CUUR0000SAD,2025,1,122.26
CUUR0000SAD,2024,12,121.747
CUUR0000SAD,2024,11,122.061
CUUR0000SAD,2024,10,122.18
CUUR0000SAD,2024,9,122.204
CUUR0000SAD,2024,8,122.201
