naics,naics_str,naics_desc,R0_2017,S0_2017,E0_2017,T0_2017,R0_2018,S0_2018,E0_2018,T0_2018,R0,S0,E0,T0
11,11,"Agriculture, Forestry, Fishing and Hunting",0,8.255388859444445e-5,1.0297888325006524e-4,0,0.07247512133203254,0.0038966891501630877,0.0035368712571194703,0.004758004112882946,0.0724751204252243,0.0038141352124512196,0.003433892270550132,0.0047580040991306305
21,21,"Mining, Quarrying, and Oil and Gas Extraction",0,1.4819257194903204e-6,1.2129007152399316e-6,0,0.007578608662947225,3.3503279756148064e-5,2.3792975424582162e-5,4.0593288152217225e-5,0.007578608579933643,3.2021354854805395e-5,2.2580074073630385e-5,4.059328784933314e-5
31,,,0,0.0030501754221526904,0.003256052286082533,0,0.01113925477579223,0.013903054483712277,0.012809670743699972,0.0124623271777715,0.01113925501704216,0.010852878913283348,0.009553618729114532,0.012462327256798744
91,,,0,0,0,0,0.08051136731630332,0.00118817720892988,8.195204390221975e-4,0.0014052932300336431,0.08051136881113052,0.0011881772661581635,8.195204427465796e-4,0.001405293238349259
93,,,0,6.653148348469305e-6,6.005910434153921e-6,0,0.010433071606769106,8.32808201382762e-5,7.410712832111185e-5,7.909183300218637e-5,0.010433071292936802,7.662767166038975e-5,6.810121703892946e-5,7.909183477750048e-5
98,,,0,0,0,0,0,0,0,0,0,0,0,0
99,,,0,0,0,0,2.165700932621506e-5,2.379087622368375e-4,2.0876247701365663e-4,2.965573047452998e-4,2.1657009710907005e-5,2.379087673034519e-4,2.0876247435808182e-4,2.965572930406779e-4
111,111,Crop Production,0,3.4398694592853414e-6,1.9983924021890417e-5,0,0.076017329640823,0.0035600479740856947,0.003278558700499053,0.004433374009560948,0.07601732760667801,0.0035566079895943403,0.00325857475399971,0.004433373920619488
113,113,Forestry and Logging,0,1.910275776270402e-6,1.769165738314409e-6,0,0.01089710759590273,5.033672491191136e-4,3.6277248316871926e-4,6.383208747985562e-4,0.010897107422351837,5.014569615013897e-4,3.610033309087157e-4,6.383208674378693e-4
114,114,"Fishing, Hunting and Trapping",0,3.9863551011887834e-4,4.5609078789152294e-4,0,0.054738033703577424,0.009081192196630571,0.008227443154601735,0.010854542483068781,0.054738033562898636,0.008682556450366974,0.007771352306008339,0.010854542255401611
211,211,Oil and Gas Extraction,0,0,0,0,0.008291973996406745,4.3427119589012345e-7,3.0896577817912087e-7,4.6501204875512217e-7,0.008291973732411861,4.342711861227144e-7,3.089657809596247e-7,4.6501205019922054e-7
212,212,Mining (except Oil and Gas),0,4.303851797624237e-5,3.522708686733925e-5,0,0.005794797840154231,9.895002693097049e-4,7.041351513573971e-4,0.0011929363905289155,0.005794798023998737,9.464617469348013e-4,6.689080619253218e-4,0.0011929364409297705
311,311,Food Manufacturing,0,0.001772933725122927,0.0016783803942151852,0,0.01497626167675893,0.006218392969948358,0.005499680091696007,0.005516384908373568,0.014976262114942074,0.0044454592280089855,0.0038212996441870928,0.005516384728252888
312,312,Beverage and Tobacco Product Manufacturing,0,0,3.705037685294515e-6,0,0.04246337077550452,1.9472959711695835e-4,1.2162194965502026e-4,2.4333973495305715e-4,0.04246336966753006,1.9472959684208035e-4,1.1791691213147715e-4,2.4333973124157637e-4
313,313,Textile Mills,0,0.015676160131283756,0.014564679528013281,0,0.004371447943194863,0.035542688937810284,0.032195156199391416,0.024841327912990513,0.004371447954326868,0.01986652798950672,0.017630476504564285,0.024841327220201492
314,314,Textile Product Mills,0,0.00487060302610517,0.0046983507907910815,0,0.007231288086763278,0.011104504566686426,0.010046991056960244,0.00772907717750091,0.007231288123875856,0.006233901716768742,0.005348640494048595,0.007729077246040106
315,315,Apparel Manufacturing,0,0.0012273931777118353,0.0018737326356588777,0,0.0076964804722787,0.003492331384999981,0.003941248270228611,0.002831425967449584,0.007696480490267277,0.0022649383172392845,0.0020675156265497208,0.0028314259834587574
316,316,Leather and Allied Product Manufacturing,0,0.023041599220105444,0.022061526597970813,0,0.006949328757117836,0.03692347044307159,0.03501176273964767,0.01736053505978827,0.006949328817427158,0.013881871476769447,0.012950235977768898,0.017360534518957138
321,321,Wood Product Manufacturing,0,0.004553373816450512,0.00477150984779564,0,0.01648400790930928,0.023410886938143975,0.021466230165509033,0.021644443865137745,0.016484007239341736,0.01885751262307167,0.016694720834493637,0.02164444327354431
322,322,Paper Manufacturing,0,7.696897408601054e-4,7.175907765777206e-4,0,0.010520132978507943,0.013800859906174499,0.011401993638521884,0.015506365552049123,0.010520133189857006,0.013031169772148132,0.010684402659535408,0.015506365336477757
323,323,Printing and Related Support Activities,0,2.677501179742269e-5,2.40474521879688e-5,0,0.010959452258129707,0.007417007272082655,0.0062670843725269165,0.009237749161986327,0.010959452018141747,0.007390232291072607,0.006243037059903145,0.009237749502062798
324,324,Petroleum and Coal Products Manufacturing,0,3.01077194077061e-7,1.3467219148591594e-5,0,0.0032863671980354787,8.453512502877895e-5,3.445452992224616e-5,1.7871090341160082e-4,0.003286367282271385,8.423404506174847e-5,2.0987310563214123e-5,1.7871090676635504e-4
325,325,Chemical Manufacturing,0,7.594128903691054e-4,0.0011593649330739729,0,0.00824899992750188,0.0051806120368743415,0.004868313839789684,0.005128409143396826,0.00824899971485138,0.004421199206262827,0.0037089488469064236,0.005128409247845411
326,326,Plastics and Rubber Products Manufacturing,0,0.006682656314121949,0.0064906692232554325,0,0.005547058453531791,0.02760613315038383,0.02477849404211561,0.0238539642201971,0.005547058302909136,0.020923476666212082,0.01828782446682453,0.02385396510362625
327,327,Nonmetallic Mineral Product Manufacturing,0,0.005975500240497083,0.00574188196506317,0,0.02508713482194186,0.02334212649491297,0.01974766639953325,0.02141470283816754,0.025087134912610054,0.017366625368595123,0.014005784876644611,0.021414702758193016
331,331,Primary Metal Manufacturing,0,0.0014635352982051654,0.0014526844769521144,0,0.0407496280856898,0.06892554130440107,0.07036008872054261,0.06778301022505928,0.040749628096818924,0.0674620047211647,0.06890740245580673,0.06778301298618317
332,332,Fabricated Metal Product Manufacturing,0,0.006046290334904989,0.006519384546927507,0,0.009895444274220724,0.033197172594109994,0.03614243007883641,0.03095202948307741,0.0098954439163208,0.02715088240802288,0.029623044654726982,0.030952028930187225
333,333,Machinery Manufacturing,0,8.478308880696157e-4,0.0011970753431000064,0,0.004543864959624338,0.026397997167505127,0.023457676146402373,0.027259622341912405,0.0045438650995492935,0.02555016614496708,0.022260600700974464,0.027259621769189835
334,334,Computer and Electronic Product Manufacturing,0,1.309403440959956e-4,2.7862727931457536e-4,0,0.0056048973296076695,0.015327712464041205,0.012585738646917321,0.017674758692471343,0.0056048971600830555,0.015196772292256355,0.01230711117386818,0.017674759030342102
335,335,"Electrical Equipment, Appliance, and Component Manufacturing",0,0.0054810910030956535,0.008263399767169274,0,0.009000278715811074,0.04272393303346166,0.03767847668162524,0.041419999343221464,0.009000279009342194,0.037242840975522995,0.029415076598525047,0.041419997811317444
336,336,Transportation Equipment Manufacturing,0,8.326182390396341e-4,0.0011262674096777412,0,0.010310121763719276,0.00652836134728006,0.00589665075622194,0.006428562240432901,0.010310121811926365,0.005695743020623922,0.0047703832387924194,0.006428562104701996
337,337,Furniture and Related Product Manufacturing,0,9.014065469726762e-4,8.401863773765486e-4,0,0.01404033366643617,0.04073903130882451,0.03253795200981599,0.049730681662362095,0.014040333218872547,0.03983762487769127,0.03169776499271393,0.049730680882930756
339,339,Miscellaneous Manufacturing,0,1.548684239575044e-4,2.868024153377251e-4,0,0.00977419160970839,0.0013191385256106365,0.001304725515356333,0.0013405400499873676,0.009774191305041313,0.0011642700992524624,0.0010179231176152825,0.0013405400095507503
910,,,0,0,0,0,0.08051136731630332,0.00118817720892988,8.195204390221975e-4,0.0014052932300336431,0.08051136881113052,0.0011881772661581635,8.195204427465796e-4,0.001405293238349259
930,,,0,6.653148348469305e-6,6.005910434153921e-6,0,0.010433071606769106,8.32808201382762e-5,7.410712832111185e-5,7.909183300218637e-5,0.010433071292936802,7.662767166038975e-5,6.810121703892946e-5,7.909183477750048e-5
980,,,0,0,0,0,0,0,0,0,0,0,0,0
990,,,0,0,0,0,2.165700932621506e-5,2.379087622368375e-4,2.0876247701365663e-4,2.965573047452998e-4,2.1657009710907005e-5,2.379087673034519e-4,2.0876247435808182e-4,2.965572930406779e-4
1132,1132,Forest Nurseries and Gathering of Forest Products,0,1.9907802563799684e-6,1.8437265962065616e-6,0,0.0029876972633839046,4.509342542096267e-4,3.201735835729312e-4,5.656816389175607e-4,0.0029876972548663616,4.489434650167823e-4,3.183298686053604e-4,5.656816647388041e-4
1133,1133,Logging,0,0,0,0,0.012345417351817415,0.0081723714951577,0.007148196884403419,0.008790286484516123,0.012345417402684689,0.008172371424734592,0.007148196920752525,0.008790286257863045
1141,1141,Fishing,0,3.9863551011887834e-4,4.5609078789152294e-4,0,0.054738033703577424,0.009081192196630571,0.008227443154601735,0.010854542483068781,0.054738033562898636,0.008682556450366974,0.007771352306008339,0.010854542255401611
2111,2111,Oil and Gas Extraction,0,0,0,0,0.008291973996406745,4.3427119589012345e-7,3.0896577817912087e-7,4.6501204875512217e-7,0.008291973732411861,4.342711861227144e-7,3.089657809596247e-7,4.6501205019922054e-7
2121,2121,Coal Mining,0,0,0,0,0.005887250974751131,1.7310428558670867e-4,6.431488848901045e-6,2.3158384564487088e-4,0.005887250881642103,1.7310428665950894e-4,6.431489055103157e-6,2.3158385010901839e-4
2122,2122,Metal Ore Mining,0,0,0,0,0.004441968721288325,5.171701140774955e-5,4.266774996583919e-5,6.412350673051175e-5,0.004441968630999327,5.171701195649803e-5,4.26677506766282e-5,6.41235092189163e-5
2123,2123,Nonmetallic Mineral Mining and Quarrying,0,9.41359819149797e-5,7.70478621645985e-5,0,0.008863251560486767,0.0020076652885266427,0.0014529217345360629,0.0024284270072254706,0.008863251656293869,0.0019135293550789356,0.0013758739223703742,0.002428427105769515
3111,3111,Animal Food Manufacturing,0,2.6340242396947133e-4,2.4301580639008303e-4,0,0.0033865347903628707,0.014024069259853025,0.011880039417236152,0.017281122007124713,0.0033865347504615784,0.01376066729426384,0.011637023650109768,0.017281122505664825
3112,3112,Grain and Oilseed Milling,0,2.0473413016304214e-4,2.19899554602037e-4,0,0.0016752502373492532,0.0013400059148415988,0.0011104786728461584,0.0013935636948622502,0.0016752502415329218,0.0011352717410773039,8.905791328288615e-4,0.0013935636961832643
3113,3113,Sugar and Confectionery Product Manufacturing,0,0.0011165067023547008,0.0010468357650817732,0,0.016937278935405836,0.0027492911618375152,0.002503388453660381,0.0020430610817197678,0.01693727821111679,0.0016327844932675362,0.0014565526507794857,0.002043061191216111
3114,3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,0,0.006297572781959415,0.005914292758542786,0,0.03367114070039405,0.017359396325944274,0.015396587470581358,0.013536855047832658,0.03367114067077637,0.011061823926866055,0.00948229432106018,0.013536854647099972
3115,3115,Dairy Product Manufacturing,0,0.0022224827260061103,0.002040590495344975,0,0.009478155876488235,0.0050990817733260795,0.004557298125126272,0.003547053238027697,0.00947815552353859,0.0028765990864485502,0.0025167076382786036,0.0035470533184707165
3116,3116,Animal Slaughtering and Processing,0,5.22102323314562e-7,5.13691078773557e-7,0,0.023366769960446978,5.3126313868866315e-5,2.9073917729341588e-5,7.388741710515955e-5,0.023366769775748253,5.26042131241411e-5,2.8560227292473428e-5,7.388741505565122e-5
3117,3117,Seafood Product Preparation and Packaging,0,0.0027409313504305113,0.0025231940401027266,0,1.2999944312136637e-4,0.019096966616442806,0.01708706058234558,0.020265058509422052,1.299994473811239e-4,0.016356036067008972,0.014563866890966892,0.020265057682991028
3118,3118,Bakeries and Tortilla Manufacturing,0,0,0,0,0.03751635526599397,0.001576040436772674,0.0012902538304814602,0.0019700519895078776,0.03751635551452637,0.001576040405780077,0.0012902538292109966,0.00197005202062428
3119,3119,Other Food Manufacturing,0,0.0011522718737349855,0.0011649708057590968,0,0.018376357980133123,0.002885306248144995,0.0026806153636655117,0.002163509384442691,0.018376357853412628,0.0017330343835055828,0.0015156446024775505,0.0021635093726217747
3121,3121,Beverage Manufacturing,0,0,3.07615199587192e-6,0,0.04812054512238176,1.436218734853527e-4,1.2456313581265497e-4,1.7945706809626905e-4,0.048120543360710144,1.4362187357619405e-4,1.2148698442615569e-4,1.7945707077160478e-4
3122,3122,Tobacco Manufacturing,0,0,1.3631002348432565e-5,0,0.002552520124180208,0.001001972054637821,7.510904607124417e-5,0.0012521999661184152,0.002552520018070936,0.0010019720066338778,6.147804378997535e-5,0.0012521999888122082
3131,3131,"Fiber, Yarn, and Thread Mills",0,0.012014666377675743,0.011591745594784618,0,0.005665444266247471,0.024192717324070717,0.022726431117850592,0.01516434457118092,0.005665444303303957,0.01217805128544569,0.011134685948491096,0.015164344571530819
3132,3132,Fabric Mills,0,0.017886490699255953,0.01663246527135458,0,0.003529476996963109,0.038277676290049106,0.034921688449079925,0.02550149144154749,0.003529476933181286,0.020391184836626053,0.018289223313331604,0.025501491501927376
3133,3133,Textile and Fabric Finishing and Fabric Coating Mills,0,0.007677127758806037,0.006879835992208261,0,0.00599647175471771,0.028688712472650188,0.024542153509659333,0.026276612223675524,0.0059964717365801334,0.021011585369706154,0.01766231842339039,0.026276612654328346
3141,3141,Textile Furnishings Mills,0,0.0015462435064456416,0.0014503250856903278,0,0.011750596101438457,0.005015680421336254,0.004504804569915871,0.004304747029266269,0.011750595644116402,0.0034694368951022625,0.00305447936989367,0.004304747097194195
3149,3149,Other Textile Product Mills,0,0.011789340244395886,0.011458225341137204,0,0.0017990070584983438,0.02360987283883302,0.021431308631030918,0.014771550130790258,0.0017990070628002286,0.011820532381534576,0.00997308362275362,0.014771549962460995
3151,3151,Apparel Knitting Mills,0,0.0013130368432372628,0.010212336201917952,0,4.763658884566516e-4,0.011905199875106635,0.0201652678887194,0.013240592245920542,4.763658798765391e-4,0.010592162609100342,0.00995293166488409,0.013240592554211617
3152,3152,Cut and Sew Apparel Manufacturing,0,3.4927309261847185e-4,3.440352911015627e-4,0,0.008799918223049367,9.507906429581442e-4,8.896350498900747e-4,7.51956690516619e-4,0.008799917995929718,6.015175604261458e-4,5.455997306853533e-4,7.519567152485251e-4
3159,3159,Apparel Accessories and Other Apparel Manufacturing,0,0.014593428576300813,0.02032874925884067,0,0.0047992540580312935,0.03736898806416228,0.041006391324088384,0.02846973926152536,0.004799254238605499,0.02277555875480175,0.02067764289677143,0.028469739481806755
3161,3161,Leather and Hide Tanning and Finishing,0,8.906712439375677e-4,8.590247677193902e-4,0,0.013744575053933193,0.0035554360764859733,0.0034351707830755,0.003330677351338781,0.013744574971497059,0.002664764877408743,0.0025761460419744253,0.003330677282065153
3162,3162,Footwear Manufacturing,0,0,0,0,0.0051569158357843824,0,0,0,0.005156915634870529,0,0,0
3169,3169,Other Leather and Allied Product Manufacturing,0,0.07193359330217514,0.06887348108135423,0,0.004713637038994415,0.11514955199608806,0.10918404002499475,0.054043461876583127,0.004713636822998524,0.04321596026420593,0.040310557931661606,0.05404346063733101
3211,3211,Sawmills and Wood Preservation,0,0,0,0,0.02505863030575398,4.6043133993069587e-4,3.69349012912214e-4,6.20919927259471e-4,0.025058630853891373,4.604313289746642e-4,3.693489998113364e-4,6.209199200384319e-4
