"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"US000","0","10","10","0","2023","A","",11866306,153140899,11081267615470,2060050025538,33934089306,1392,72360,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",346994,3.0,3115244,2.1,581530580376,5.5,58316375704,2.9,-873042501,-2.5,46,3.4,2374,3.4
"US000","1","10","11","0","2023","A","",61310,2929938,286764744238,0,0,1882,97874,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",434,0.7,66331,2.3,21106181547,7.9,0,0.0,0,0.0,98,5.5,5103,5.5
"US000","1","101","12","0","2023","A","",150,52157,5114514081,0,0,1886,98060,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",13,9.5,-308,-0.6,297362266,6.2,0,0.0,0,0.0,120,6.8,6244,6.8
"US000","1","1011","13","0","2023","A","",75,3751,332459221,0,0,1704,88626,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",1,1.4,82,2.2,23766842,7.7,0,0.0,0,0.0,86,5.3,4479,5.3
"US000","1","1012","13","0","2023","A","",1,5,772671,0,0,3184,165572,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",0,0.0,0,0.0,90212,13.2,0,0.0,0,0.0,268,9.2,13914,9.2
"US000","1","1013","13","0","2023","A","",74,48401,4781282189,0,0,1900,98785,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",12,19.4,-391,-0.8,273505212,6.1,0,0.0,0,0.0,123,6.9,6398,6.9
"US000","1","102","12","0","2023","A","",61161,2877781,281650230157,0,0,1882,97871,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",422,0.7,66639,2.4,20808819281,8.0,0,0.0,0,0.0,98,5.5,5083,5.5
"US000","1","1021","13","0","2023","A","",30590,670560,47459415779,0,0,1361,70776,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",320,1.1,2874,0.4,1076735662,2.3,0,0.0,0,0.0,25,1.9,1308,1.9
"US000","1","1022","13","0","2023","A","",149,6575,617117489,0,0,1805,93858,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",4,2.8,82,1.3,37411923,6.5,0,0.0,0,0.0,88,5.1,4570,5.1
"US000","1","1023","13","0","2023","A","",820,12687,1797989079,0,0,2725,141723,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",28,3.5,204,1.6,168637632,10.3,0,0.0,0,0.0,215,8.6,11194,8.6
"US000","1","1024","13","0","2023","A","",1447,70685,7229936142,0,0,1967,102284,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",10,0.7,1706,2.5,658082109,10.0,0,0.0,0,0.0,135,7.4,7011,7.4
"US000","1","1025","13","0","2023","A","",1426,442678,44848714196,0,0,1948,101312,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",12,0.8,16003,3.8,4792014012,12.0,0,0.0,0,0.0,143,7.9,7431,7.9
"US000","1","1026","13","0","2023","A","",1442,47465,2856869499,0,0,1157,60189,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-20,-1.4,2744,6.1,284536910,11.1,0,0.0,0,0.0,51,4.6,2669,4.6
"US000","1","1027","13","0","2023","A","",165,4909,322747832,0,0,1264,65741,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",7,4.4,90,1.9,25824923,8.7,0,0.0,0,0.0,79,6.7,4121,6.7
"US000","1","1028","13","0","2023","A","",25119,1622221,176517256262,0,0,2093,108812,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",65,0.3,42940,2.7,13765787126,8.5,0,0.0,0,0.0,111,5.6,5758,5.6
"US000","1","1029","13","0","2023","A","",5,2,183879,0,0,2357,122586,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-1,-16.7,-5,-71.4,-211016,-53.4,0,0.0,0,0.0,1218,106.9,63352,107.0
"US000","1","11","14","0","2023","A","",75,3751,332459221,0,0,1704,88626,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",1,1.4,82,2.2,23766842,7.7,0,0.0,0,0.0,86,5.3,4479,5.3
