year,industry_code,industry_name,commodity_code,commodity_name,value_musd,total_intermediate_musd,input_share,link_5pct
2019,111CA,Farms,111CA,Farms,103865.0,265426.0,0.39131433996669507,1
2019,113FF,"Forestry, fishing, and related activities",111CA,Farms,284.0,9409.0,0.030183866510787544,0
2019,211,Oil and gas extraction,111CA,Farms,0.0,143210.0,0.0,0
2019,212,"Mining, except oil and gas",111CA,Farms,35.0,53016.0,0.0006601780594537498,0
2019,213,Support activities for mining,111CA,Farms,33.0,67484.0,0.0004890048011380475,0
2019,22,Utilities,111CA,Farms,0.0,186372.0,0.0,0
2019,23,Construction,111CA,Farms,2274.0,779205.0,0.0029183590967717097,0
2019,321,Wood products,111CA,Farms,0.0,75557.0,0.0,0
2019,327,Nonmetallic mineral products,111CA,Farms,0.0,72040.0,0.0,0
2019,331,Primary metals,111CA,Farms,0.0,168512.0,0.0,0
2019,332,Fabricated metal products,111CA,Farms,0.0,218723.0,0.0,0
2019,333,Machinery,111CA,Farms,0.0,230162.0,0.0,0
2019,334,Computer and electronic products,111CA,Farms,0.0,100954.0,0.0,0
2019,335,"Electrical equipment, appliances, and components",111CA,Farms,0.0,71429.0,0.0,0
2019,3361MV,"Motor vehicles, bodies and trailers, and parts",111CA,Farms,0.0,488464.0,0.0,0
2019,3364OT,Other transportation equipment,111CA,Farms,0.0,162915.0,0.0,0
2019,337,Furniture and related products,111CA,Farms,0.0,43803.0,0.0,0
2019,339,Miscellaneous manufacturing,111CA,Farms,367.0,75412.0,0.00486659948018883,0
2019,311FT,Food and beverage and tobacco products,111CA,Farms,273746.0,705040.0,0.38827016906842166,1
2019,313TT,Textile mills and textile product mills,111CA,Farms,1988.0,33218.0,0.05984707086519357,1
2019,315AL,Apparel and leather and allied products,111CA,Farms,0.0,7712.0,0.0,0
2019,322,Paper products,111CA,Farms,0.0,128227.0,0.0,0
2019,323,Printing and related support activities,111CA,Farms,0.0,39644.0,0.0,0
2019,324,Petroleum and coal products,111CA,Farms,0.0,454343.0,0.0,0
2019,325,Chemical products,111CA,Farms,20158.0,430956.0,0.04677507680598483,0
2019,326,Plastics and rubber products,111CA,Farms,0.0,165496.0,0.0,0
2019,42,Wholesale trade,111CA,Farms,875.0,935960.0,0.0009348690114962178,0
2019,441,Motor vehicle and parts dealers,111CA,Farms,826.0,113778.0,0.007259751445797958,0
2019,445,Food and beverage stores,111CA,Farms,1212.0,94734.0,0.012793717144847679,0
2019,452,General merchandise stores,111CA,Farms,203.0,84564.0,0.0024005486968449933,0
2019,4A0,Other retail,111CA,Farms,504.0,417277.0,0.0012078307694888526,0
2019,481,Air transportation,111CA,Farms,0.0,132056.0,0.0,0
2019,482,Rail transportation,111CA,Farms,0.0,38661.0,0.0,0
2019,483,Water transportation,111CA,Farms,0.0,45363.0,0.0,0
2019,484,Truck transportation,111CA,Farms,0.0,212015.0,0.0,0
2019,485,Transit and ground passenger transportation,111CA,Farms,0.0,55215.0,0.0,0
2019,486,Pipeline transportation,111CA,Farms,0.0,22684.0,0.0,0
