sector_code,sector_name,summary_code,summary_name,underlying_summary_code,underlying_summary_name,detail_code,detail_name,go_detail_code,go_detail_name,notes,naics_2017
11,"Agriculture, forestry, fishing, and hunting",111CA,Farms,111,Crop production,1111A0,Oilseed farming,1111A0,Oilseed farming,,11111
11,"Agriculture, forestry, fishing, and hunting",111CA,Farms,111,Crop production,1111A0,Oilseed farming,1111A0,Oilseed farming,,11112
11,"Agriculture, forestry, fishing, and hunting",111CA,Farms,111,Crop production,1111B0,Grain farming,1111B0,Grain farming,,11113
11,"Agriculture, forestry, fishing, and hunting",111CA,Farms,111,Crop production,1111B0,Grain farming,1111B0,Grain farming,,11114
11,"Agriculture, forestry, fishing, and hunting",111CA,Farms,111,Crop production,1111B0,Grain farming,1111B0,Grain farming,,11115
11,"Agriculture, forestry, fishing, and hunting",111CA,Farms,111,Crop production,1111B0,Grain farming,1111B0,Grain farming,,11116
11,"Agriculture, forestry, fishing, and hunting",111CA,Farms,111,Crop production,1111B0,Grain farming,1111B0,Grain farming,,11119
11,"Agriculture, forestry, fishing, and hunting",111CA,Farms,111,Crop production,111200,Vegetable and melon farming,111200,Vegetable and melon farming,,1112
11,"Agriculture, forestry, fishing, and hunting",111CA,Farms,111,Crop production,111300,Fruit and tree nut farming,111300,Fruit and tree nut farming,,1113
11,"Agriculture, forestry, fishing, and hunting",111CA,Farms,111,Crop production,111400,"Greenhouse, nursery, and floriculture production",111400,"Greenhouse, nursery, and floriculture production",,1114
11,"Agriculture, forestry, fishing, and hunting",111CA,Farms,111,Crop production,111900,Other crop farming,111900,Other crop farming,,1119
11,"Agriculture, forestry, fishing, and hunting",111CA,Farms,112,Animal production and aquaculture,1121A0,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",1121A0,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",,11211
11,"Agriculture, forestry, fishing, and hunting",111CA,Farms,112,Animal production and aquaculture,1121A0,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",1121A0,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",,11213
11,"Agriculture, forestry, fishing, and hunting",111CA,Farms,112,Animal production and aquaculture,112120,Dairy cattle and milk production,112120,Dairy cattle and milk production,,11212
11,"Agriculture, forestry, fishing, and hunting",111CA,Farms,112,Animal production and aquaculture,112A00,"Animal production, except cattle and poultry and eggs",112A00,"Animal production, except cattle and poultry and eggs",,1122
11,"Agriculture, forestry, fishing, and hunting",111CA,Farms,112,Animal production and aquaculture,112A00,"Animal production, except cattle and poultry and eggs",112A00,"Animal production, except cattle and poultry and eggs",,1124
11,"Agriculture, forestry, fishing, and hunting",111CA,Farms,112,Animal production and aquaculture,112A00,"Animal production, except cattle and poultry and eggs",112A00,"Animal production, except cattle and poultry and eggs",,1125
11,"Agriculture, forestry, fishing, and hunting",111CA,Farms,112,Animal production and aquaculture,112A00,"Animal production, except cattle and poultry and eggs",112A00,"Animal production, except cattle and poultry and eggs",,1129
11,"Agriculture, forestry, fishing, and hunting",111CA,Farms,112,Animal production and aquaculture,112300,Poultry and egg production,112300,Poultry and egg production,,1123
11,"Agriculture, forestry, fishing, and hunting",113FF,"Forestry, fishing, and related activities",113FF,"Forestry, fishing, and related activities",113000,Forestry and logging,113000,Forestry and logging,,113
11,"Agriculture, forestry, fishing, and hunting",113FF,"Forestry, fishing, and related activities",113FF,"Forestry, fishing, and related activities",114000,"Fishing, hunting and trapping",114000,"Fishing, hunting and trapping",,114
11,"Agriculture, forestry, fishing, and hunting",113FF,"Forestry, fishing, and related activities",113FF,"Forestry, fishing, and related activities",115000,Support activities for agriculture and forestry,115000,Support activities for agriculture and forestry,,115
21,Mining,211,Oil and gas extraction,211,Oil and gas extraction,211000,Oil and gas extraction,211000,Oil and gas extraction,,211
21,Mining,212,"Mining, except oil and gas",212,"Mining, except oil and gas",212100,Coal mining,212100,Coal mining,,2121
21,Mining,212,"Mining, except oil and gas",212,"Mining, except oil and gas",2122A0,"Iron, gold, silver, and other metal ore mining",2122A0,"Iron, gold, silver, and other metal ore mining",,21221
