area_fips,own_code,naics_code,agglvl_code,year,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,annual_avg_wkly_wage,avg_annual_pay
US000,5,10,11,2016,9417676,120504622,6448777345223,1029,53515
US000,5,10,11,2017,9536831,122386565,6772575478620,1064,55338
US000,5,10,11,2018,9711681,124551838,7124159437270,1100,57198
US000,5,10,11,2019,9932347,126358743,7480666095812,1138,59202
US000,5,10,11,2020,10185275,117940012,7577262960169,1236,64247
US000,5,10,11,2021,10606413,122716652,8348257979651,1308,68029
US000,5,10,11,2022,11215668,128718060,9054842577232,1353,70346
US000,5,10,11,2023,11560938,131289681,9532693094908,1396,72608
US000,5,10,11,2024,11750888,132569771,10055481436062,1459,75850
US000,5,10,11,2025,11934418,133117983,10529205074339,1521,79097
US000,5,101,12,2016,1255881,20855718,1294905646616,1194,62089
US000,5,101,12,2017,1268497,21211110,1356691481033,1230,63961
US000,5,101,12,2018,1300203,21810990,1435473339414,1266,65814
US000,5,101,12,2019,1325262,22165887,1496257017603,1298,67503
US000,5,101,12,2020,1345913,21068217,1481041284084,1352,70297
US000,5,101,12,2021,1379358,21483469,1568714490507,1404,73020
US000,5,101,12,2022,1427867,22288484,1701316643462,1468,76332
US000,5,101,12,2023,1464834,22654500,1805104456159,1532,79680
US000,5,101,12,2024,1480843,22709392,1882659932367,1594,82902
US000,5,101,12,2025,1495422,22624809,1961272281062,1667,86687
US000,5,1011,13,2016,137600,1872879,105096275822,1079,56115
US000,5,1011,13,2017,136922,1885246,107192625537,1093,56859
US000,5,1011,13,2018,138458,1937219,115513450487,1147,59628
US000,5,1011,13,2019,139623,1938254,119904951572,1190,61862
US000,5,1011,13,2020,140624,1781459,108957042156,1176,61162
US000,5,1011,13,2021,141477,1760905,108256249699,1182,61478
US000,5,1011,13,2022,143341,1814457,120558874254,1278,66444
US000,5,1011,13,2023,145122,1836179,129001089256,1351,70255
US000,5,1011,13,2024,145167,1840600,135045576228,1411,73370
US000,5,1011,13,2025,144924,1801549,136310962999,1455,75663
US000,5,1012,13,2016,774594,6686142,392122540119,1128,58647
US000,5,1012,13,2017,784852,6919107,420232126869,1168,60735
US000,5,1012,13,2018,810295,7225870,453256708999,1206,62727
US000,5,1012,13,2019,830620,7451476,483047762801,1247,64826
US000,5,1012,13,2020,847018,7203279,485194830632,1295,67357
US000,5,1012,13,2021,871514,7419907,518316001803,1343,69855
US000,5,1012,13,2022,903816,7714898,566619613938,1412,73445
US000,5,1012,13,2023,927511,7950260,613526105210,1484,77171
US000,5,1012,13,2024,938478,8135442,659407619286,1559,81054
US000,5,1012,13,2025,949050,8245605,699377669549,1631,84818
US000,5,1013,13,2016,343687,12296697,797686830675,1248,64870
US000,5,1013,13,2017,346723,12406757,829266728627,1285,66840
US000,5,1013,13,2018,351450,12647900,866703179928,1318,68525
US000,5,1013,13,2019,355019,12776157,893304303230,1345,69920
US000,5,1013,13,2020,358272,12083479,886889411296,1411,73397
US000,5,1013,13,2021,366368,12302657,942142239005,1473,76580
US000,5,1013,13,2022,380711,12759129,1014138155270,1529,79483
