hts8,naics_str,import_value_2017_china,naics_import_total_2017_china,hs8_naics_weight
0101.29.00,112920,1.222,1.232056,0.991838033336147
0106.11.00,112990,34.953471,35.308945,0.9899324661215451
0106.19.91,112990,0.111846,35.308945,0.0031676392483547724
0106.20.00,112990,0.016458,35.308945,0.00046611418154804684
0106.49.00,112990,0.009744,35.308945,0.00027596406519651037
0106.90.01,112990,0.014121,35.308945,0.0003999269873398936
0208.10.00,311615,3.966659,3.969423,0.9993036771339311
0208.90.20,311611,0.0797,244.85321500000003,0.00032550113748761674
0208.90.25,311611,12.536928,244.85321500000003,0.0512018108481851
0301.11.00,112511,2.147419,2.312622,0.9285646335631158
0301.19.00,112511,0.052863,2.312622,0.02285846973694793
0302.13.00,114111,0.534254,1503.5266410000002,0.00035533390990974797
0302.23.00,114111,0.034961,1503.5266410000002,2.325266413420339e-05
0302.29.01,114111,0.073351,1503.5266410000002,4.878596627407548e-05
0302.32.00,114111,0.008255,1503.5266410000002,5.490424828461685e-06
0302.34.00,114111,0.012972,1503.5266410000002,8.627715430018774e-06
0302.35.01,114111,0.010861,1503.5266410000002,7.223683108652013e-06
0302.36.00,114111,0.0594,1503.5266410000002,3.9507115058827876e-05
0302.43.00,114111,0.158394,1503.5266410000002,0.0001053483162058583
0302.45.50,114111,0.411862,1503.5266410000002,0.00027393063000604324
0302.59.50,114111,0.002871,1503.5266410000002,1.9095105611766807e-06
0302.71.11,114111,0.028316,1503.5266410000002,1.883305505060219e-05
0302.71.50,114111,0.02179,1503.5266410000002,1.449259321770807e-05
0302.74.00,114111,0.040267,1503.5266410000002,2.6781700371613166e-05
0302.89.50,114111,0.6126820000000001,1503.5266410000002,0.00040749660384634313
0303.12.00,114111,18.372689,1503.5266410000002,0.012219729600388238
0303.23.00,114111,35.836022,1503.5266410000002,0.023834643845196752
0303.24.00,114111,0.031049,1503.5266410000002,2.0650781405076543e-05
0303.26.00,114111,0.494621,1503.5266410000002,0.0003289738848066078
0303.29.01,114111,0.5049939999999999,1503.5266410000002,0.00033587299767706604
0303.31.00,114111,0.563863,1503.5266410000002,0.0003750269430709741
0303.33.00,114111,0.088776,1503.5266410000002,5.904517923337548e-05
0303.39.01,114111,0.43720400000000004,1503.5266410000002,0.00029078566889191555
