naics,naics_str,naics_desc,R0_2017,S0_2017,E0_2017,T0_2017,R0_2018,S0_2018,E0_2018,T0_2018,R0,S0,E0,T0
11.0,11,"Agriculture, Forestry, Fishing and Hunting",0.0,8.255388859444445e-05,0.00010297888325006524,0.0,0.07247512133203254,0.0038966891501630877,0.0035368712571194703,0.004758004112882946,0.07247512,0.0038141352,0.0034338923,0.004758004
21.0,21,"Mining, Quarrying, and Oil and Gas Extraction",0.0,1.4819257194903204e-06,1.2129007152399316e-06,0.0,0.007578608662947225,3.3503279756148064e-05,2.3792975424582162e-05,4.0593288152217225e-05,0.0075786086,3.2021355e-05,2.2580074e-05,4.0593288e-05
31.0,,,0.0,0.0030501754221526904,0.003256052286082533,0.0,0.01113925477579223,0.013903054483712277,0.012809670743699972,0.0124623271777715,0.011139255,0.010852879,0.009553619,0.012462327
91.0,,,0.0,0.0,0.0,0.0,0.08051136731630332,0.00118817720892988,0.0008195204390221975,0.0014052932300336431,0.08051137,0.0011881773,0.00081952044,0.0014052932
93.0,,,0.0,6.653148348469305e-06,6.005910434153921e-06,0.0,0.010433071606769106,8.32808201382762e-05,7.410712832111185e-05,7.909183300218637e-05,0.010433071,7.662767e-05,6.810122e-05,7.9091835e-05
98.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99.0,,,0.0,0.0,0.0,0.0,2.165700932621506e-05,0.0002379087622368375,0.00020876247701365663,0.0002965573047452998,2.165701e-05,0.00023790877,0.00020876247,0.0002965573
111.0,111,Crop Production,0.0,3.4398694592853414e-06,1.9983924021890417e-05,0.0,0.076017329640823,0.0035600479740856947,0.003278558700499053,0.004433374009560948,0.07601733,0.003556608,0.0032585748,0.004433374
113.0,113,Forestry and Logging,0.0,1.910275776270402e-06,1.769165738314409e-06,0.0,0.01089710759590273,0.0005033672491191136,0.00036277248316871926,0.0006383208747985562,0.010897107,0.00050145696,0.00036100333,0.00063832087
114.0,114,"Fishing, Hunting and Trapping",0.0,0.00039863551011887834,0.00045609078789152294,0.0,0.054738033703577424,0.009081192196630571,0.008227443154601735,0.010854542483068781,0.054738034,0.008682556,0.0077713523,0.010854542
