list_id,hts8,year,active_301_rate
list1,2845.90.00,2016,0.0
list1,2845.90.00,2017,0.0
list1,2845.90.00,2018,0.125
list1,2845.90.00,2019,0.25
list1,2845.90.00,2020,0.25
list1,2845.90.00,2021,0.25
list1,2845.90.00,2022,0.25
list1,2845.90.00,2023,0.25
list1,2845.90.00,2024,0.25
list1,2845.90.00,2025,0.25
list1,8411.99.10,2016,0.0
list1,8411.99.10,2017,0.0
list1,8411.99.10,2018,0.125
list1,8411.99.10,2019,0.25
list1,8411.99.10,2020,0.25
list1,8411.99.10,2021,0.25
list1,8411.99.10,2022,0.25
list1,8411.99.10,2023,0.25
list1,8411.99.10,2024,0.25
list1,8411.99.10,2025,0.25
list1,8419.89.60,2016,0.0
list1,8419.89.60,2017,0.0
list1,8419.89.60,2018,0.125
list1,8419.89.60,2019,0.25
list1,8419.89.60,2020,0.25
list1,8419.89.60,2021,0.25
list1,8419.89.60,2022,0.25
list1,8419.89.60,2023,0.25
list1,8419.89.60,2024,0.25
list1,8419.89.60,2025,0.25
list1,8427.10.80,2016,0.0
list1,8427.10.80,2017,0.0
list1,8427.10.80,2018,0.125
list1,8427.10.80,2019,0.25
list1,8427.10.80,2020,0.25
list1,8427.10.80,2021,0.25
list1,8427.10.80,2022,0.25
list1,8427.10.80,2023,0.25
list1,8427.10.80,2024,0.25
list1,8427.10.80,2025,0.25
list1,4011.30.00,2016,0.0
list1,4011.30.00,2017,0.0
list1,4011.30.00,2018,0.125
list1,4011.30.00,2019,0.25
list1,4011.30.00,2020,0.25
list1,4011.30.00,2021,0.25
list1,4011.30.00,2022,0.25
list1,4011.30.00,2023,0.25
list1,4011.30.00,2024,0.25
list1,4011.30.00,2025,0.25
list1,8411.99.90,2016,0.0
list1,8411.99.90,2017,0.0
list1,8411.99.90,2018,0.125
list1,8411.99.90,2019,0.25
list1,8411.99.90,2020,0.25
list1,8411.99.90,2021,0.25
list1,8411.99.90,2022,0.25
list1,8411.99.90,2023,0.25
list1,8411.99.90,2024,0.25
list1,8411.99.90,2025,0.25
list1,8419.90.10,2016,0.0
list1,8419.90.10,2017,0.0
list1,8419.90.10,2018,0.125
list1,8419.90.10,2019,0.25
list1,8419.90.10,2020,0.25
list1,8419.90.10,2021,0.25
list1,8419.90.10,2022,0.25
list1,8419.90.10,2023,0.25
list1,8419.90.10,2024,0.25
list1,8419.90.10,2025,0.25
list1,8427.20.40,2016,0.0
list1,8427.20.40,2017,0.0
list1,8427.20.40,2018,0.125
list1,8427.20.40,2019,0.25
list1,8427.20.40,2020,0.25
list1,8427.20.40,2021,0.25
list1,8427.20.40,2022,0.25
list1,8427.20.40,2023,0.25
list1,8427.20.40,2024,0.25
list1,8427.20.40,2025,0.25
list1,4012.13.00,2016,0.0
list1,4012.13.00,2017,0.0
list1,4012.13.00,2018,0.125
list1,4012.13.00,2019,0.25
list1,4012.13.00,2020,0.25
list1,4012.13.00,2021,0.25
list1,4012.13.00,2022,0.25
list1,4012.13.00,2023,0.25
list1,4012.13.00,2024,0.25
list1,4012.13.00,2025,0.25
list1,8412.10.00,2016,0.0
list1,8412.10.00,2017,0.0
list1,8412.10.00,2018,0.125
list1,8412.10.00,2019,0.25
list1,8412.10.00,2020,0.25
list1,8412.10.00,2021,0.25
list1,8412.10.00,2022,0.25
list1,8412.10.00,2023,0.25
list1,8412.10.00,2024,0.25
list1,8412.10.00,2025,0.25
list1,8419.90.20,2016,0.0
list1,8419.90.20,2017,0.0
list1,8419.90.20,2018,0.125
list1,8419.90.20,2019,0.25
list1,8419.90.20,2020,0.25
list1,8419.90.20,2021,0.25
list1,8419.90.20,2022,0.25
list1,8419.90.20,2023,0.25
list1,8419.90.20,2024,0.25
list1,8419.90.20,2025,0.25
