source_page,url,text,url_lower,is_machine_readable,is_pdf
https://ustr.gov/issue-areas/enforcement/section-301-investigations/section-301-china/34-billion-trade-action,https://ustr.gov/sites/default/files/enforcement/301Investigations/FRN301.pdf,Proposed Tariff Action,https://ustr.gov/sites/default/files/enforcement/301investigations/frn301.pdf,0,1
https://ustr.gov/issue-areas/enforcement/section-301-investigations/section-301-china/34-billion-trade-action,https://ustr.gov/sites/default/files/2018-13248.pdf,Notice of Action,https://ustr.gov/sites/default/files/2018-13248.pdf,0,1
https://ustr.gov/issue-areas/enforcement/section-301-investigations/section-301-china/34-billion-trade-action,https://ustr.gov/sites/default/files/enforcement/301Investigations/Request_for_Comments_Concerning_Proposed_Modification.pdf,Request for Comments Concerning Proposed Modification,https://ustr.gov/sites/default/files/enforcement/301investigations/request_for_comments_concerning_proposed_modification.pdf,0,1
https://ustr.gov/issue-areas/enforcement/section-301-investigations/section-301-china/34-billion-trade-action,https://ustr.gov/sites/default/files/enforcement/301Investigations/Section%20301%20Exclusion%20Request%20Guidelines.pdf,How to Describe Your Product,https://ustr.gov/sites/default/files/enforcement/301investigations/section%20301%20exclusion%20request%20guidelines.pdf,0,1
https://ustr.gov/issue-areas/enforcement/section-301-investigations/section-301-china/34-billion-trade-action,https://ustr.gov/sites/default/files/enforcement/301Investigations/FRN%20exclusion%20process.pdf,Exclusion Request Procedures,https://ustr.gov/sites/default/files/enforcement/301investigations/frn%20exclusion%20process.pdf,0,1
https://ustr.gov/issue-areas/enforcement/section-301-investigations/section-301-china/34-billion-trade-action,http://ustr.gov/sites/default/files/enforcement/301Investigations/Section%20301%20Exclusion%20Request%20Guidelines.pdf,Exclusion Request Guidelines,http://ustr.gov/sites/default/files/enforcement/301investigations/section%20301%20exclusion%20request%20guidelines.pdf,0,1
https://ustr.gov/issue-areas/enforcement/section-301-investigations/section-301-china/34-billion-trade-action,https://ustr.gov/sites/default/files/enforcement/301Investigations/Section%20301_Product%20Exclusion%20Request%20Form.pdf,Exclusion Request Form,https://ustr.gov/sites/default/files/enforcement/301investigations/section%20301_product%20exclusion%20request%20form.pdf,0,1
https://ustr.gov/issue-areas/enforcement/section-301-investigations/section-301-china/34-billion-trade-action,https://ustr.gov/sites/default/files/enforcement/301Investigations/12.20.2019_Initial_%2434_Billion_Trade_Action_Index_of_Product_Exclusion_Requests_and_Review_Status.xlsx,Exclusion Requests Status Index,https://ustr.gov/sites/default/files/enforcement/301investigations/12.20.2019_initial_%2434_billion_trade_action_index_of_product_exclusion_requests_and_review_status.xlsx,1,0
https://ustr.gov/issue-areas/enforcement/section-301-investigations/section-301-china/34-billion-trade-action,https://ustr.gov/sites/default/files/enforcement/301Investigations/Initial%20%2434%20Billion%20%20Trade%20Action%20Exclusion%20Process%20FAQs.pdf,FAQs,https://ustr.gov/sites/default/files/enforcement/301investigations/initial%20%2434%20billion%20%20trade%20action%20exclusion%20process%20faqs.pdf,0,1
https://ustr.gov/issue-areas/enforcement/section-301-investigations/section-301-china/34-billion-trade-action,https://ustr.gov/sites/default/files/enforcement/301Investigations/2018-28277.pdf,"Exclusions Granted December 28, 2018",https://ustr.gov/sites/default/files/enforcement/301investigations/2018-28277.pdf,0,1
