naics_str,year,tariff_301_direct,targeted_import_share_2017_china,china_import_value_2017,n_hs8_total,n_hs8_targeted
111110,2016.0,0.0,1.0,9.692475,2.0,0.0
111110,2017.0,0.0,1.0,9.692475,2.0,0.0
111110,2018.0,0.03333333333333333,1.0,9.692475,2.0,2.0
111110,2019.0,0.19999999999999998,1.0,9.692475,2.0,2.0
111110,2020.0,0.25,1.0,9.692475,2.0,2.0
111110,2021.0,0.25,1.0,9.692475,2.0,2.0
111110,2022.0,0.25,1.0,9.692475,2.0,2.0
111110,2023.0,0.25,1.0,9.692475,2.0,2.0
111110,2024.0,0.25,1.0,9.692475,2.0,2.0
111110,2025.0,0.25,1.0,9.692475,2.0,2.0
111120,2016.0,0.0,1.0,22.429932,4.0,0.0
111120,2017.0,0.0,1.0,22.429932,4.0,0.0
111120,2018.0,0.033333333333333326,1.0,22.429932,4.0,4.0
111120,2019.0,0.19999999999999998,1.0,22.429932,4.0,4.0
111120,2020.0,0.24999999999999997,1.0,22.429932,4.0,4.0
111120,2021.0,0.24999999999999997,1.0,22.429932,4.0,4.0
111120,2022.0,0.24999999999999997,1.0,22.429932,4.0,4.0
111120,2023.0,0.24999999999999997,1.0,22.429932,4.0,4.0
111120,2024.0,0.24999999999999997,1.0,22.429932,4.0,4.0
111120,2025.0,0.24999999999999997,1.0,22.429932,4.0,4.0
111130,2016.0,0.0,1.0,37.731693,22.0,0.0
111130,2017.0,0.0,1.0,37.731693,22.0,0.0
111130,2018.0,0.033333333333333326,1.0,37.731693,22.0,22.0
111130,2019.0,0.19999999999999996,1.0,37.731693,22.0,22.0
111130,2020.0,0.24999999999999997,1.0,37.731693,22.0,22.0
111130,2021.0,0.24999999999999997,1.0,37.731693,22.0,22.0
111130,2022.0,0.24999999999999997,1.0,37.731693,22.0,22.0
111130,2023.0,0.24999999999999997,1.0,37.731693,22.0,22.0
111130,2024.0,0.24999999999999997,1.0,37.731693,22.0,22.0
111130,2025.0,0.24999999999999997,1.0,37.731693,22.0,22.0
111140,2016.0,0.0,1.0,0.010386,1.0,0.0
111140,2017.0,0.0,1.0,0.010386,1.0,0.0
111140,2018.0,0.03333333333333333,1.0,0.010386,1.0,1.0
111140,2019.0,0.19999999999999998,1.0,0.010386,1.0,1.0
111140,2020.0,0.25,1.0,0.010386,1.0,1.0
111140,2021.0,0.25,1.0,0.010386,1.0,1.0
111140,2022.0,0.25,1.0,0.010386,1.0,1.0
111140,2023.0,0.25,1.0,0.010386,1.0,1.0
111140,2024.0,0.25,1.0,0.010386,1.0,1.0
111140,2025.0,0.25,1.0,0.010386,1.0,1.0
111150,2016.0,0.0,1.0,0.141188,1.0,0.0
111150,2017.0,0.0,1.0,0.141188,1.0,0.0
111150,2018.0,0.03333333333333333,1.0,0.141188,1.0,1.0
111150,2019.0,0.19999999999999998,1.0,0.141188,1.0,1.0
111150,2020.0,0.25,1.0,0.141188,1.0,1.0
111150,2021.0,0.25,1.0,0.141188,1.0,1.0
111150,2022.0,0.25,1.0,0.141188,1.0,1.0
111150,2023.0,0.25,1.0,0.141188,1.0,1.0
111150,2024.0,0.25,1.0,0.141188,1.0,1.0
111150,2025.0,0.25,1.0,0.141188,1.0,1.0
111199,2016.0,0.0,1.0,1.9663789999999999,11.0,0.0
111199,2017.0,0.0,1.0,1.9663789999999999,11.0,0.0
111199,2018.0,0.03333333333333333,1.0,1.9663789999999999,11.0,11.0
111199,2019.0,0.19999999999999998,1.0,1.9663789999999999,11.0,11.0
111199,2020.0,0.25,1.0,1.9663789999999999,11.0,11.0
111199,2021.0,0.25,1.0,1.9663789999999999,11.0,11.0
111199,2022.0,0.25,1.0,1.9663789999999999,11.0,11.0
111199,2023.0,0.25,1.0,1.9663789999999999,11.0,11.0
111199,2024.0,0.25,1.0,1.9663789999999999,11.0,11.0
111199,2025.0,0.25,1.0,1.9663789999999999,11.0,11.0
111211,2016.0,0.0,1.0,4.01109,2.0,0.0
111211,2017.0,0.0,1.0,4.01109,2.0,0.0
111211,2018.0,0.033333333333333326,1.0,4.01109,2.0,2.0
111211,2019.0,0.19999999999999996,1.0,4.01109,2.0,2.0
111211,2020.0,0.24999999999999997,1.0,4.01109,2.0,2.0
111211,2021.0,0.24999999999999997,1.0,4.01109,2.0,2.0
111211,2022.0,0.24999999999999997,1.0,4.01109,2.0,2.0
111211,2023.0,0.24999999999999997,1.0,4.01109,2.0,2.0
111211,2024.0,0.24999999999999997,1.0,4.01109,2.0,2.0
111211,2025.0,0.24999999999999997,1.0,4.01109,2.0,2.0
111219,2016.0,0.0,1.0,244.520132,25.0,0.0
111219,2017.0,0.0,1.0,244.520132,25.0,0.0
111219,2018.0,0.033333333333333326,1.0,244.520132,25.0,25.0
111219,2019.0,0.19999999999999998,1.0,244.520132,25.0,25.0
111219,2020.0,0.24999999999999997,1.0,244.520132,25.0,25.0
111219,2021.0,0.24999999999999997,1.0,244.520132,25.0,25.0
111219,2022.0,0.24999999999999997,1.0,244.520132,25.0,25.0
111219,2023.0,0.24999999999999997,1.0,244.520132,25.0,25.0
111219,2024.0,0.24999999999999997,1.0,244.520132,25.0,25.0
111219,2025.0,0.24999999999999997,1.0,244.520132,25.0,25.0
111310,2016.0,0.0,1.0,0.002501,1.0,0.0
111310,2017.0,0.0,1.0,0.002501,1.0,0.0
111310,2018.0,0.03333333333333333,1.0,0.002501,1.0,1.0
111310,2019.0,0.19999999999999998,1.0,0.002501,1.0,1.0
111310,2020.0,0.25,1.0,0.002501,1.0,1.0
111310,2021.0,0.25,1.0,0.002501,1.0,1.0
111310,2022.0,0.25,1.0,0.002501,1.0,1.0
111310,2023.0,0.25,1.0,0.002501,1.0,1.0
111310,2024.0,0.25,1.0,0.002501,1.0,1.0
111310,2025.0,0.25,1.0,0.002501,1.0,1.0
111320,2016.0,0.0,1.0,0.404847,1.0,0.0
111320,2017.0,0.0,1.0,0.404847,1.0,0.0
111320,2018.0,0.03333333333333333,1.0,0.404847,1.0,1.0
111320,2019.0,0.19999999999999998,1.0,0.404847,1.0,1.0
111320,2020.0,0.25,1.0,0.404847,1.0,1.0
111320,2021.0,0.25,1.0,0.404847,1.0,1.0
111320,2022.0,0.25,1.0,0.404847,1.0,1.0
111320,2023.0,0.25,1.0,0.404847,1.0,1.0
111320,2024.0,0.25,1.0,0.404847,1.0,1.0
111320,2025.0,0.25,1.0,0.404847,1.0,1.0
111331,2016.0,0.0,1.0,4.725577,1.0,0.0
111331,2017.0,0.0,1.0,4.725577,1.0,0.0
111331,2018.0,0.03333333333333333,1.0,4.725577,1.0,1.0
111331,2019.0,0.19999999999999998,1.0,4.725577,1.0,1.0
111331,2020.0,0.25,1.0,4.725577,1.0,1.0
111331,2021.0,0.25,1.0,4.725577,1.0,1.0
111331,2022.0,0.25,1.0,4.725577,1.0,1.0
111331,2023.0,0.25,1.0,4.725577,1.0,1.0
111331,2024.0,0.25,1.0,4.725577,1.0,1.0
111331,2025.0,0.25,1.0,4.725577,1.0,1.0
111333,2016.0,0.0,1.0,0.036896,1.0,0.0
111333,2017.0,0.0,1.0,0.036896,1.0,0.0
111333,2018.0,0.03333333333333333,1.0,0.036896,1.0,1.0
111333,2019.0,0.19999999999999998,1.0,0.036896,1.0,1.0
111333,2020.0,0.25,1.0,0.036896,1.0,1.0
111333,2021.0,0.25,1.0,0.036896,1.0,1.0
111333,2022.0,0.25,1.0,0.036896,1.0,1.0
111333,2023.0,0.25,1.0,0.036896,1.0,1.0
111333,2024.0,0.25,1.0,0.036896,1.0,1.0
111333,2025.0,0.25,1.0,0.036896,1.0,1.0
111334,2016.0,0.0,1.0,0.0058,1.0,0.0
111334,2017.0,0.0,1.0,0.0058,1.0,0.0
111334,2018.0,0.03333333333333333,1.0,0.0058,1.0,1.0
111334,2019.0,0.19999999999999998,1.0,0.0058,1.0,1.0
111334,2020.0,0.25,1.0,0.0058,1.0,1.0
111334,2021.0,0.25,1.0,0.0058,1.0,1.0
111334,2022.0,0.25,1.0,0.0058,1.0,1.0
111334,2023.0,0.25,1.0,0.0058,1.0,1.0
111334,2024.0,0.25,1.0,0.0058,1.0,1.0
111334,2025.0,0.25,1.0,0.0058,1.0,1.0
111335,2016.0,0.0,0.8030144322972552,74.84712800000001,13.0,0.0
111335,2017.0,0.0,0.8030144322972552,74.84712800000001,13.0,0.0
111335,2018.0,0.05426904244965373,0.8030144322972552,74.84712800000001,13.0,13.0
111335,2019.0,0.06159606551636823,0.8030144322972552,74.84712800000001,13.0,13.0
111335,2020.0,0.08524565030738386,0.8030144322972552,74.84712800000001,13.0,13.0
111335,2021.0,0.08524565030738386,0.8030144322972552,74.84712800000001,13.0,13.0
111335,2022.0,0.08524565030738386,0.8030144322972552,74.84712800000001,13.0,13.0
111335,2023.0,0.08524565030738386,0.8030144322972552,74.84712800000001,13.0,13.0
111335,2024.0,0.08524565030738386,0.8030144322972552,74.84712800000001,13.0,13.0
111335,2025.0,0.08524565030738386,0.8030144322972552,74.84712800000001,13.0,13.0
111339,2016.0,0.0,1.0,56.789665,16.0,0.0
111339,2017.0,0.0,1.0,56.789665,16.0,0.0
111339,2018.0,0.05491227144939136,1.0,56.789665,16.0,16.0
111339,2019.0,0.12231582278219108,1.0,56.789665,16.0,16.0
111339,2020.0,0.15936845991255627,1.0,56.789665,16.0,16.0
111339,2021.0,0.15936845991255627,1.0,56.789665,16.0,16.0
111339,2022.0,0.15936845991255627,1.0,56.789665,16.0,16.0
111339,2023.0,0.15936845991255627,1.0,56.789665,16.0,16.0
111339,2024.0,0.15936845991255627,1.0,56.789665,16.0,16.0
111339,2025.0,0.15936845991255627,1.0,56.789665,16.0,16.0
111411,2016.0,0.0,0.3404063629419187,31.134089,3.0,0.0
111411,2017.0,0.0,0.3404063629419187,31.134089,3.0,0.0
111411,2018.0,0.011346878764730624,0.3404063629419187,31.134089,3.0,3.0
111411,2019.0,0.06808127258838374,0.3404063629419187,31.134089,3.0,3.0
111411,2020.0,0.08510159073547968,0.3404063629419187,31.134089,3.0,3.0
111411,2021.0,0.08510159073547968,0.3404063629419187,31.134089,3.0,3.0
111411,2022.0,0.08510159073547968,0.3404063629419187,31.134089,3.0,3.0
111411,2023.0,0.08510159073547968,0.3404063629419187,31.134089,3.0,3.0
111411,2024.0,0.08510159073547968,0.3404063629419187,31.134089,3.0,3.0
111411,2025.0,0.08510159073547968,0.3404063629419187,31.134089,3.0,3.0
111421,2016.0,0.0,1.0,16.998308,12.0,0.0
111421,2017.0,0.0,1.0,16.998308,12.0,0.0
111421,2018.0,0.07133961852752246,1.0,16.998308,12.0,12.0
111421,2019.0,0.06317737330091912,1.0,16.998308,12.0,12.0
111421,2020.0,0.09037360218440563,1.0,16.998308,12.0,12.0
111421,2021.0,0.09037360218440563,1.0,16.998308,12.0,12.0
111421,2022.0,0.09037360218440563,1.0,16.998308,12.0,12.0
111421,2023.0,0.09037360218440563,1.0,16.998308,12.0,12.0
111421,2024.0,0.09037360218440563,1.0,16.998308,12.0,12.0
111421,2025.0,0.09037360218440563,1.0,16.998308,12.0,12.0
111422,2016.0,0.0,1.0,4.06879,5.0,0.0
111422,2017.0,0.0,1.0,4.06879,5.0,0.0
111422,2018.0,0.03826564531470044,1.0,4.06879,5.0,5.0
111422,2019.0,0.1822436768670784,1.0,4.06879,5.0,5.0
111422,2020.0,0.22928428967825817,1.0,4.06879,5.0,5.0
111422,2021.0,0.22928428967825817,1.0,4.06879,5.0,5.0
111422,2022.0,0.22928428967825817,1.0,4.06879,5.0,5.0
111422,2023.0,0.22928428967825817,1.0,4.06879,5.0,5.0
111422,2024.0,0.22928428967825817,1.0,4.06879,5.0,5.0
111422,2025.0,0.22928428967825817,1.0,4.06879,5.0,5.0
111910,2016.0,0.0,1.0,1.225159,3.0,0.0
