line,industry_name,industry_name_clean,year,gross_output_price_index_2017_100
1,All industries,all industries,2009,88.023
1,All industries,all industries,2010,90.435
1,All industries,all industries,2011,93.735
1,All industries,all industries,2012,95.186
1,All industries,all industries,2013,96.788
1,All industries,all industries,2014,98.393
1,All industries,all industries,2015,97.37
1,All industries,all industries,2016,97.589
1,All industries,all industries,2017,100.0
1,All industries,all industries,2018,102.941
1,All industries,all industries,2019,104.276
1,All industries,all industries,2020,104.942
1,All industries,all industries,2021,111.876
1,All industries,all industries,2022,121.114
1,All industries,all industries,2023,122.905
1,All industries,all industries,2024,125.567
1,All industries,all industries,2025,129.25
2,Private industries,private industries,2009,88.33
2,Private industries,private industries,2010,90.698
2,Private industries,private industries,2011,94.076
2,Private industries,private industries,2012,95.502
2,Private industries,private industries,2013,97.009
2,Private industries,private industries,2014,98.549
2,Private industries,private industries,2015,97.372
2,Private industries,private industries,2016,97.575
2,Private industries,private industries,2017,100.0
2,Private industries,private industries,2018,102.872
2,Private industries,private industries,2019,104.174
2,Private industries,private industries,2020,104.626
2,Private industries,private industries,2021,111.708
2,Private industries,private industries,2022,121.115
2,Private industries,private industries,2023,122.74
2,Private industries,private industries,2024,125.308
2,Private industries,private industries,2025,128.879
3,"Agriculture, forestry, fishing, and hunting",agriculture forestry fishing and hunting,2009,85.482
3,"Agriculture, forestry, fishing, and hunting",agriculture forestry fishing and hunting,2010,92.039
3,"Agriculture, forestry, fishing, and hunting",agriculture forestry fishing and hunting,2011,110.426
3,"Agriculture, forestry, fishing, and hunting",agriculture forestry fishing and hunting,2012,115.392
3,"Agriculture, forestry, fishing, and hunting",agriculture forestry fishing and hunting,2013,120.135
3,"Agriculture, forestry, fishing, and hunting",agriculture forestry fishing and hunting,2014,119.827
3,"Agriculture, forestry, fishing, and hunting",agriculture forestry fishing and hunting,2015,108.126
3,"Agriculture, forestry, fishing, and hunting",agriculture forestry fishing and hunting,2016,97.474
