year,tradable_goods_inflation,nontradable_services_inflation,tradable_minus_nontradable_inflation
2010,1.0960095327077453,0.9028458804159755,0.1931636522917698
2011,1.3309124963972427,1.7803156510466451,-0.4494031546494024
2012,1.2641195686036,2.422270817667223,-1.158151249063623
2013,-0.027789575845339292,2.394922836322294,-2.422712412167633
2014,-0.341648918718541,2.4730435496956136,-2.8146924684141545
2015,-0.463488658006215,2.608452164388636,-3.071940822394851
2016,-0.4828616907483226,3.1000596293540283,-3.582921320102351
2017,-0.7284326532766006,2.6733986045716107,-3.4018312578482113
2018,-0.1963692219066069,2.8977163929118883,-3.0940856148184954
2019,0.21982720441783102,2.8500159888088756,-2.6301887843910445
2020,0.1488463297160153,2.2147317400662057,-2.0658854103501905
2021,6.330450969746138,2.6187830316680833,3.711667938078055
2022,7.734231598967412,5.632553949916137,2.1016776490512754
2023,0.886602530141527,6.258189712546874,-5.371587182405347
2024,-1.0714953825976414,5.000259861631373,-6.071755244229014
2025,0.707797650228585,3.598609548363525,-2.89081189813494
