year,category,source,series_id,value
1984,apparel,BLS CPI-U,CUUR0000SAA,102.03333333333335
1984,cpi_all,BLS CPI-U,CUUR0000SA0,103.88333333333333
1984,durables,BLS CPI-U,CUUR0000SAD,105.10000000000001
1984,energy,BLS CPI-U,CUUR0000SA0E,100.925
1984,food,BLS CPI-U,CUUR0000SAF1,103.23333333333333
1984,household_furnishings,BLS CPI-U,CUUR0000SAH3,101.85833333333333
1984,medical_care,BLS CPI-U,CUUR0000SAM,106.85833333333333
1984,new_vehicles,BLS CPI-U,CUUR0000SETA01,102.63333333333333
1984,rent_primary_residence,BLS CPI-U,CUUR0000SEHA,105.29166666666667
1984,shelter,BLS CPI-U,CUUR0000SAH1,103.99166666666667
1984,transportation,BLS CPI-U,CUUR0000SAT,103.71666666666665
1984,used_cars_trucks,BLS CPI-U,CUUR0000SETA02,112.51666666666667
1985,apparel,BLS CPI-U,CUUR0000SAA,105.02499999999999
1985,cpi_all,BLS CPI-U,CUUR0000SA0,107.56666666666666
1985,durables,BLS CPI-U,CUUR0000SAD,106.75833333333333
1985,energy,BLS CPI-U,CUUR0000SA0E,101.63333333333333
1985,food,BLS CPI-U,CUUR0000SAF1,105.56666666666666
1985,household_furnishings,BLS CPI-U,CUUR0000SAH3,103.85833333333333
1985,medical_care,BLS CPI-U,CUUR0000SAM,113.51666666666667
1985,new_vehicles,BLS CPI-U,CUUR0000SETA01,106.05
1985,rent_primary_residence,BLS CPI-U,CUUR0000SEHA,111.75833333333333
1985,shelter,BLS CPI-U,CUUR0000SAH1,109.81666666666666
1985,transportation,BLS CPI-U,CUUR0000SAT,106.45833333333333
1985,used_cars_trucks,BLS CPI-U,CUUR0000SETA02,113.70833333333333
1986,apparel,BLS CPI-U,CUUR0000SAA,105.91666666666667
1986,cpi_all,BLS CPI-U,CUUR0000SA0,109.60833333333333
1986,durables,BLS CPI-U,CUUR0000SAD,106.575
1986,energy,BLS CPI-U,CUUR0000SA0E,88.23333333333333
1986,food,BLS CPI-U,CUUR0000SAF1,108.94166666666666
1986,household_furnishings,BLS CPI-U,CUUR0000SAH3,105.2
1986,medical_care,BLS CPI-U,CUUR0000SAM,122.04166666666667
1986,new_vehicles,BLS CPI-U,CUUR0000SETA01,110.60000000000001
1986,rent_primary_residence,BLS CPI-U,CUUR0000SEHA,118.27499999999999
1986,shelter,BLS CPI-U,CUUR0000SAH1,115.825
1986,transportation,BLS CPI-U,CUUR0000SAT,102.31666666666666
1986,used_cars_trucks,BLS CPI-U,CUUR0000SETA02,108.78333333333335
1987,apparel,BLS CPI-U,CUUR0000SAA,110.575
1987,cpi_all,BLS CPI-U,CUUR0000SA0,113.625
1987,durables,BLS CPI-U,CUUR0000SAD,108.19166666666666
1987,energy,BLS CPI-U,CUUR0000SA0E,88.58333333333333
1987,food,BLS CPI-U,CUUR0000SAF1,113.48333333333333
1987,household_furnishings,BLS CPI-U,CUUR0000SAH3,107.09166666666665
1987,medical_care,BLS CPI-U,CUUR0000SAM,130.14166666666668
1987,new_vehicles,BLS CPI-U,CUUR0000SETA01,114.38333333333333
1987,rent_primary_residence,BLS CPI-U,CUUR0000SEHA,123.14999999999999
1987,shelter,BLS CPI-U,CUUR0000SAH1,121.24166666666667
1987,transportation,BLS CPI-U,CUUR0000SAT,105.40833333333335
1987,used_cars_trucks,BLS CPI-U,CUUR0000SETA02,113.09166666666665
1988,apparel,BLS CPI-U,CUUR0000SAA,115.375
1988,cpi_all,BLS CPI-U,CUUR0000SA0,118.25833333333333
1988,durables,BLS CPI-U,CUUR0000SAD,110.36666666666667
1988,energy,BLS CPI-U,CUUR0000SA0E,89.25
1988,food,BLS CPI-U,CUUR0000SAF1,118.175
1988,household_furnishings,BLS CPI-U,CUUR0000SAH3,109.38333333333333
1988,medical_care,BLS CPI-U,CUUR0000SAM,138.64166666666668
1988,new_vehicles,BLS CPI-U,CUUR0000SETA01,116.51666666666667
1988,rent_primary_residence,BLS CPI-U,CUUR0000SEHA,127.84166666666665
1988,shelter,BLS CPI-U,CUUR0000SAH1,127.08333333333333
1988,transportation,BLS CPI-U,CUUR0000SAT,108.65833333333335
1988,used_cars_trucks,BLS CPI-U,CUUR0000SETA02,117.96666666666665
1989,apparel,BLS CPI-U,CUUR0000SAA,118.58333333333333
1989,cpi_all,BLS CPI-U,CUUR0000SA0,123.96666666666665
1989,durables,BLS CPI-U,CUUR0000SAD,112.14999999999999
1989,energy,BLS CPI-U,CUUR0000SA0E,94.31666666666666
1989,food,BLS CPI-U,CUUR0000SAF1,125.075
1989,household_furnishings,BLS CPI-U,CUUR0000SAH3,111.24166666666667
1989,medical_care,BLS CPI-U,CUUR0000SAM,149.25
1989,new_vehicles,BLS CPI-U,CUUR0000SETA01,119.15833333333335
1989,rent_primary_residence,BLS CPI-U,CUUR0000SEHA,132.80833333333334
1989,shelter,BLS CPI-U,CUUR0000SAH1,132.83333333333334
1989,transportation,BLS CPI-U,CUUR0000SAT,114.10000000000001
1989,used_cars_trucks,BLS CPI-U,CUUR0000SETA02,120.43333333333334
1990,apparel,BLS CPI-U,CUUR0000SAA,124.08333333333333
1990,cpi_all,BLS CPI-U,CUUR0000SA0,130.65833333333333
1990,durables,BLS CPI-U,CUUR0000SAD,113.41666666666667
1990,energy,BLS CPI-U,CUUR0000SA0E,102.09166666666665
1990,food,BLS CPI-U,CUUR0000SAF1,132.36666666666667
1990,household_furnishings,BLS CPI-U,CUUR0000SAH3,113.26666666666667
1990,medical_care,BLS CPI-U,CUUR0000SAM,162.79999999999998
1990,new_vehicles,BLS CPI-U,CUUR0000SETA01,121.39999999999999
1990,rent_primary_residence,BLS CPI-U,CUUR0000SEHA,138.40833333333333
1990,shelter,BLS CPI-U,CUUR0000SAH1,139.98333333333332
1990,transportation,BLS CPI-U,CUUR0000SAT,120.51666666666667
1990,used_cars_trucks,BLS CPI-U,CUUR0000SETA02,117.56666666666666
1991,apparel,BLS CPI-U,CUUR0000SAA,128.70833333333334
1991,cpi_all,BLS CPI-U,CUUR0000SA0,136.19166666666666
1991,durables,BLS CPI-U,CUUR0000SAD,116.0
1991,energy,BLS CPI-U,CUUR0000SA0E,102.45
1991,food,BLS CPI-U,CUUR0000SAF1,136.25
1991,household_furnishings,BLS CPI-U,CUUR0000SAH3,115.96666666666665
1991,medical_care,BLS CPI-U,CUUR0000SAM,177.01666666666665
1991,new_vehicles,BLS CPI-U,CUUR0000SETA01,125.98333333333333
1991,rent_primary_residence,BLS CPI-U,CUUR0000SEHA,143.31666666666666
1991,shelter,BLS CPI-U,CUUR0000SAH1,146.275
1991,transportation,BLS CPI-U,CUUR0000SAT,123.83333333333333
1991,used_cars_trucks,BLS CPI-U,CUUR0000SETA02,118.125
1992,apparel,BLS CPI-U,CUUR0000SAA,131.875
1992,cpi_all,BLS CPI-U,CUUR0000SA0,140.31666666666666
1992,durables,BLS CPI-U,CUUR0000SAD,118.575
1992,energy,BLS CPI-U,CUUR0000SA0E,103.0
1992,food,BLS CPI-U,CUUR0000SAF1,137.89166666666668
1992,household_furnishings,BLS CPI-U,CUUR0000SAH3,117.99166666666667
1992,medical_care,BLS CPI-U,CUUR0000SAM,190.0666666666667
1992,new_vehicles,BLS CPI-U,CUUR0000SETA01,129.20833333333334
1992,rent_primary_residence,BLS CPI-U,CUUR0000SEHA,146.90833333333333
1992,shelter,BLS CPI-U,CUUR0000SAH1,151.19166666666666
1992,transportation,BLS CPI-U,CUUR0000SAT,126.54166666666667
1992,used_cars_trucks,BLS CPI-U,CUUR0000SETA02,123.16666666666667
1993,apparel,BLS CPI-U,CUUR0000SAA,133.65833333333333
1993,cpi_all,BLS CPI-U,CUUR0000SA0,144.45833333333334
1993,durables,BLS CPI-U,CUUR0000SAD,121.26666666666667
1993,education_communication,BLS CPI-U,CUUR0000SAE,85.46666666666665
1993,energy,BLS CPI-U,CUUR0000SA0E,104.14999999999999
1993,food,BLS CPI-U,CUUR0000SAF1,140.85833333333332
1993,household_furnishings,BLS CPI-U,CUUR0000SAH3,119.25833333333333
1993,medical_care,BLS CPI-U,CUUR0000SAM,201.40833333333333
1993,new_vehicles,BLS CPI-U,CUUR0000SETA01,132.74166666666667
1993,recreation,BLS CPI-U,CUUR0000SAR,90.71666666666665
1993,rent_primary_residence,BLS CPI-U,CUUR0000SEHA,150.34166666666667
1993,shelter,BLS CPI-U,CUUR0000SAH1,155.73333333333332
1993,transportation,BLS CPI-U,CUUR0000SAT,130.35833333333332
1993,used_cars_trucks,BLS CPI-U,CUUR0000SETA02,133.88333333333333
1994,apparel,BLS CPI-U,CUUR0000SAA,133.4
1994,cpi_all,BLS CPI-U,CUUR0000SA0,148.225
