year,category,source,series_id,value,base_value,price_index_1984_100,label
1984,apparel,BLS CPI-U,CUUR0000SAA,102.03333333333336,102.03333333333336,100.0,Apparel
1984,cpi_all,BLS CPI-U,CUUR0000SA0,103.88333333333333,103.88333333333333,100.0,CPI All Items
1984,durables,BLS CPI-U,CUUR0000SAD,105.1,105.1,100.0,Durable goods
1984,energy,BLS CPI-U,CUUR0000SA0E,100.925,100.925,100.0,Energy
1984,food,BLS CPI-U,CUUR0000SAF1,103.23333333333332,103.23333333333332,100.0,Food
1984,household_furnishings,BLS CPI-U,CUUR0000SAH3,101.85833333333332,101.85833333333332,100.0,Household furnishings
1984,medical_care,BLS CPI-U,CUUR0000SAM,106.85833333333332,106.85833333333332,100.0,Medical care
1984,new_vehicles,BLS CPI-U,CUUR0000SETA01,102.63333333333333,102.63333333333333,100.0,New vehicles
1984,rent_primary_residence,BLS CPI-U,CUUR0000SEHA,105.29166666666669,105.29166666666669,100.0,Rent
1984,shelter,BLS CPI-U,CUUR0000SAH1,103.99166666666667,103.99166666666667,100.0,Shelter
1984,transportation,BLS CPI-U,CUUR0000SAT,103.71666666666664,103.71666666666664,100.0,Transportation
1984,used_cars_trucks,BLS CPI-U,CUUR0000SETA02,112.51666666666668,112.51666666666668,100.0,Used cars and trucks
1985,apparel,BLS CPI-U,CUUR0000SAA,105.025,102.03333333333336,102.93204835021233,Apparel
1985,cpi_all,BLS CPI-U,CUUR0000SA0,107.56666666666666,103.88333333333333,103.5456441520937,CPI All Items
1985,durables,BLS CPI-U,CUUR0000SAD,106.75833333333333,105.1,101.5778623533143,Durable goods
1985,energy,BLS CPI-U,CUUR0000SA0E,101.63333333333333,100.925,100.70184130129634,Energy
1985,food,BLS CPI-U,CUUR0000SAF1,105.56666666666666,103.23333333333332,102.26025185663545,Food
1985,household_furnishings,BLS CPI-U,CUUR0000SAH3,103.85833333333332,101.85833333333332,101.9635114129101,Household furnishings
1985,medical_care,BLS CPI-U,CUUR0000SAM,113.51666666666668,106.85833333333332,106.2309911877096,Medical care
1985,new_vehicles,BLS CPI-U,CUUR0000SETA01,106.05,102.63333333333333,103.32900292302696,New vehicles
1985,rent_primary_residence,BLS CPI-U,CUUR0000SEHA,111.75833333333333,105.29166666666669,106.1416699643846,Rent
1985,shelter,BLS CPI-U,CUUR0000SAH1,109.81666666666666,103.99166666666667,105.6014103694206,Shelter
1985,transportation,BLS CPI-U,CUUR0000SAT,106.45833333333331,103.71666666666664,102.64341957255343,Transportation
1985,used_cars_trucks,BLS CPI-U,CUUR0000SETA02,113.70833333333331,112.51666666666668,101.0591023552066,Used cars and trucks
1986,apparel,BLS CPI-U,CUUR0000SAA,105.91666666666669,102.03333333333336,103.8059457693564,Apparel
1986,cpi_all,BLS CPI-U,CUUR0000SA0,109.60833333333332,103.88333333333333,105.51098989250762,CPI All Items
1986,durables,BLS CPI-U,CUUR0000SAD,106.575,105.1,101.40342530922932,Durable goods
1986,energy,BLS CPI-U,CUUR0000SA0E,88.23333333333333,100.925,87.42465527206672,Energy
1986,food,BLS CPI-U,CUUR0000SAF1,108.94166666666666,103.23333333333332,105.52954472069746,Food
1986,household_furnishings,BLS CPI-U,CUUR0000SAH3,105.2,101.85833333333332,103.28070031907062,Household furnishings
1986,medical_care,BLS CPI-U,CUUR0000SAM,122.04166666666669,106.85833333333332,114.20884348436407,Medical care
1986,new_vehicles,BLS CPI-U,CUUR0000SETA01,110.6,102.63333333333333,107.76226047417994,New vehicles
1986,rent_primary_residence,BLS CPI-U,CUUR0000SEHA,118.275,105.29166666666669,112.33082706766915,Rent
1986,shelter,BLS CPI-U,CUUR0000SAH1,115.825,103.99166666666667,111.37911691641958,Shelter
1986,transportation,BLS CPI-U,CUUR0000SAT,102.31666666666666,103.71666666666664,98.65016872890891,Transportation
1986,used_cars_trucks,BLS CPI-U,CUUR0000SETA02,108.78333333333336,112.51666666666668,96.68197304103097,Used cars and trucks
1987,apparel,BLS CPI-U,CUUR0000SAA,110.575,102.03333333333336,108.37144723946419,Apparel
1987,cpi_all,BLS CPI-U,CUUR0000SA0,113.625,103.88333333333333,109.37750681854645,CPI All Items
1987,durables,BLS CPI-U,CUUR0000SAD,108.19166666666666,105.1,102.94164287979702,Durable goods
1987,energy,BLS CPI-U,CUUR0000SA0E,88.58333333333333,100.925,87.77144744447196,Energy
1987,food,BLS CPI-U,CUUR0000SAF1,113.48333333333332,103.23333333333332,109.92896351307718,Food
1987,household_furnishings,BLS CPI-U,CUUR0000SAH3,107.09166666666664,101.85833333333332,105.13785486378137,Household furnishings
1987,medical_care,BLS CPI-U,CUUR0000SAM,130.14166666666668,106.85833333333332,121.78897293924982,Medical care
1987,new_vehicles,BLS CPI-U,CUUR0000SETA01,114.38333333333333,102.63333333333333,111.44852224748294,New vehicles
1987,rent_primary_residence,BLS CPI-U,CUUR0000SEHA,123.15,105.29166666666669,116.96082311040759,Rent
1987,shelter,BLS CPI-U,CUUR0000SAH1,121.24166666666667,103.99166666666667,116.58786761759757,Shelter
1987,transportation,BLS CPI-U,CUUR0000SAT,105.40833333333336,103.71666666666664,101.63104611923515,Transportation
1987,used_cars_trucks,BLS CPI-U,CUUR0000SETA02,113.09166666666664,112.51666666666668,100.51103540216259,Used cars and trucks
1988,apparel,BLS CPI-U,CUUR0000SAA,115.375,102.03333333333336,113.07579222476312,Apparel
1988,cpi_all,BLS CPI-U,CUUR0000SA0,118.25833333333333,103.88333333333333,113.83763837638377,CPI All Items
1988,durables,BLS CPI-U,CUUR0000SAD,110.36666666666667,105.1,105.01110053916906,Durable goods
1988,energy,BLS CPI-U,CUUR0000SA0E,89.25,100.925,88.43200396333911,Energy
1988,food,BLS CPI-U,CUUR0000SAF1,118.175,103.23333333333332,114.47368421052633,Food
1988,household_furnishings,BLS CPI-U,CUUR0000SAH3,109.38333333333333,101.85833333333332,107.38771169107422,Household furnishings
1988,medical_care,BLS CPI-U,CUUR0000SAM,138.64166666666668,106.85833333333332,129.74342977462373,Medical care
1988,new_vehicles,BLS CPI-U,CUUR0000SETA01,116.51666666666668,102.63333333333333,113.5271191945437,New vehicles
1988,rent_primary_residence,BLS CPI-U,CUUR0000SEHA,127.84166666666664,105.29166666666669,121.4166996438464,Rent
1988,shelter,BLS CPI-U,CUUR0000SAH1,127.08333333333331,103.99166666666667,122.20530491225257,Shelter
1988,transportation,BLS CPI-U,CUUR0000SAT,108.65833333333336,103.71666666666664,104.7645829985538,Transportation
1988,used_cars_trucks,BLS CPI-U,CUUR0000SETA02,117.96666666666664,112.51666666666668,104.84372685528068,Used cars and trucks
1989,apparel,BLS CPI-U,CUUR0000SAA,118.58333333333331,102.03333333333336,116.22018948056186,Apparel
1989,cpi_all,BLS CPI-U,CUUR0000SA0,123.96666666666664,103.88333333333333,119.33258463019412,CPI All Items
1989,durables,BLS CPI-U,CUUR0000SAD,112.15,105.1,106.70789724072314,Durable goods
1989,energy,BLS CPI-U,CUUR0000SA0E,94.31666666666666,100.925,93.45223350672941,Energy
1989,food,BLS CPI-U,CUUR0000SAF1,125.075,103.23333333333332,121.15757184371975,Food
1989,household_furnishings,BLS CPI-U,CUUR0000SAH3,111.24166666666667,101.85833333333332,109.21214104556984,Household furnishings
1989,medical_care,BLS CPI-U,CUUR0000SAM,149.25,106.85833333333332,139.67090384465416,Medical care
1989,new_vehicles,BLS CPI-U,CUUR0000SETA01,119.15833333333336,102.63333333333333,116.10100682039626,New vehicles
1989,rent_primary_residence,BLS CPI-U,CUUR0000SEHA,132.80833333333334,105.29166666666669,126.13375544123464,Rent
1989,shelter,BLS CPI-U,CUUR0000SAH1,132.83333333333334,103.99166666666667,127.73459411811845,Shelter
1989,transportation,BLS CPI-U,CUUR0000SAT,114.1,103.71666666666664,110.01124859392579,Transportation
1989,used_cars_trucks,BLS CPI-U,CUUR0000SETA02,120.43333333333334,112.51666666666668,107.03599466745666,Used cars and trucks
1990,apparel,BLS CPI-U,CUUR0000SAA,124.08333333333331,102.03333333333336,121.61058477621687,Apparel
1990,cpi_all,BLS CPI-U,CUUR0000SA0,130.65833333333333,103.88333333333333,125.77410556714264,CPI All Items
1990,durables,BLS CPI-U,CUUR0000SAD,113.41666666666669,105.1,107.9130986362195,Durable goods
1990,energy,BLS CPI-U,CUUR0000SA0E,102.09166666666664,100.925,101.15597390801747,Energy
1990,food,BLS CPI-U,CUUR0000SAF1,132.36666666666667,103.23333333333332,128.22085889570553,Food
1990,household_furnishings,BLS CPI-U,CUUR0000SAH3,113.26666666666668,101.85833333333332,111.20019635114132,Household furnishings
1990,medical_care,BLS CPI-U,CUUR0000SAM,162.79999999999998,106.85833333333332,152.35124385869142,Medical care
1990,new_vehicles,BLS CPI-U,CUUR0000SETA01,121.4,102.63333333333333,118.2851575186749,New vehicles
1990,rent_primary_residence,BLS CPI-U,CUUR0000SEHA,138.40833333333333,105.29166666666669,131.45231499802134,Rent
1990,shelter,BLS CPI-U,CUUR0000SAH1,139.98333333333332,103.99166666666667,134.61014504367336,Shelter
1990,transportation,BLS CPI-U,CUUR0000SAT,120.51666666666668,103.71666666666664,116.1979752530934,Transportation
1990,used_cars_trucks,BLS CPI-U,CUUR0000SETA02,117.56666666666666,112.51666666666668,104.48822396681972,Used cars and trucks
1991,apparel,BLS CPI-U,CUUR0000SAA,128.70833333333334,102.03333333333336,126.14341718392679,Apparel
1991,cpi_all,BLS CPI-U,CUUR0000SA0,136.19166666666666,103.88333333333333,131.1005936146318,CPI All Items
1991,durables,BLS CPI-U,CUUR0000SAD,116.0,105.1,110.3710751665081,Durable goods
1991,energy,BLS CPI-U,CUUR0000SA0E,102.45,100.925,101.5110230369086,Energy
1991,food,BLS CPI-U,CUUR0000SAF1,136.25,103.23333333333332,131.98256377139168,Food
1991,household_furnishings,BLS CPI-U,CUUR0000SAH3,115.96666666666664,101.85833333333332,113.8509367585699,Household furnishings
1991,medical_care,BLS CPI-U,CUUR0000SAM,177.01666666666665,106.85833333333332,165.655462840209,Medical care
1991,new_vehicles,BLS CPI-U,CUUR0000SETA01,125.98333333333332,102.63333333333333,122.75089314712568,New vehicles
1991,rent_primary_residence,BLS CPI-U,CUUR0000SEHA,143.31666666666666,105.29166666666669,136.1139691333597,Rent
1991,shelter,BLS CPI-U,CUUR0000SAH1,146.275,103.99166666666667,140.66030931965702,Shelter
1991,transportation,BLS CPI-U,CUUR0000SAT,123.83333333333331,103.71666666666664,119.3957898119878,Transportation
1991,used_cars_trucks,BLS CPI-U,CUUR0000SETA02,118.125,112.51666666666668,104.98444674862981,Used cars and trucks
1992,apparel,BLS CPI-U,CUUR0000SAA,131.875,102.03333333333336,129.24697811172817,Apparel
