year,month,date,category,value,source,series_id
1993,12,1993-12-01,cpi_all,145.8,BLS CPI-U,CUUR0000SA0
1993,11,1993-11-01,cpi_all,145.8,BLS CPI-U,CUUR0000SA0
1993,10,1993-10-01,cpi_all,145.7,BLS CPI-U,CUUR0000SA0
1993,9,1993-09-01,cpi_all,145.1,BLS CPI-U,CUUR0000SA0
1993,8,1993-08-01,cpi_all,144.8,BLS CPI-U,CUUR0000SA0
1993,7,1993-07-01,cpi_all,144.4,BLS CPI-U,CUUR0000SA0
1993,6,1993-06-01,cpi_all,144.4,BLS CPI-U,CUUR0000SA0
1993,5,1993-05-01,cpi_all,144.2,BLS CPI-U,CUUR0000SA0
1993,4,1993-04-01,cpi_all,144.0,BLS CPI-U,CUUR0000SA0
1993,3,1993-03-01,cpi_all,143.6,BLS CPI-U,CUUR0000SA0
1993,2,1993-02-01,cpi_all,143.1,BLS CPI-U,CUUR0000SA0
1993,1,1993-01-01,cpi_all,142.6,BLS CPI-U,CUUR0000SA0
1992,12,1992-12-01,cpi_all,141.9,BLS CPI-U,CUUR0000SA0
1992,11,1992-11-01,cpi_all,142.0,BLS CPI-U,CUUR0000SA0
1992,10,1992-10-01,cpi_all,141.8,BLS CPI-U,CUUR0000SA0
1992,9,1992-09-01,cpi_all,141.3,BLS CPI-U,CUUR0000SA0
1992,8,1992-08-01,cpi_all,140.9,BLS CPI-U,CUUR0000SA0
1992,7,1992-07-01,cpi_all,140.5,BLS CPI-U,CUUR0000SA0
1992,6,1992-06-01,cpi_all,140.2,BLS CPI-U,CUUR0000SA0
1992,5,1992-05-01,cpi_all,139.7,BLS CPI-U,CUUR0000SA0
1992,4,1992-04-01,cpi_all,139.5,BLS CPI-U,CUUR0000SA0
1992,3,1992-03-01,cpi_all,139.3,BLS CPI-U,CUUR0000SA0
1992,2,1992-02-01,cpi_all,138.6,BLS CPI-U,CUUR0000SA0
1992,1,1992-01-01,cpi_all,138.1,BLS CPI-U,CUUR0000SA0
1991,12,1991-12-01,cpi_all,137.9,BLS CPI-U,CUUR0000SA0
1991,11,1991-11-01,cpi_all,137.8,BLS CPI-U,CUUR0000SA0
1991,10,1991-10-01,cpi_all,137.4,BLS CPI-U,CUUR0000SA0
1991,9,1991-09-01,cpi_all,137.2,BLS CPI-U,CUUR0000SA0
1991,8,1991-08-01,cpi_all,136.6,BLS CPI-U,CUUR0000SA0
1991,7,1991-07-01,cpi_all,136.2,BLS CPI-U,CUUR0000SA0
1991,6,1991-06-01,cpi_all,136.0,BLS CPI-U,CUUR0000SA0
1991,5,1991-05-01,cpi_all,135.6,BLS CPI-U,CUUR0000SA0
1991,4,1991-04-01,cpi_all,135.2,BLS CPI-U,CUUR0000SA0
1991,3,1991-03-01,cpi_all,135.0,BLS CPI-U,CUUR0000SA0
1991,2,1991-02-01,cpi_all,134.8,BLS CPI-U,CUUR0000SA0
1991,1,1991-01-01,cpi_all,134.6,BLS CPI-U,CUUR0000SA0
1990,12,1990-12-01,cpi_all,133.8,BLS CPI-U,CUUR0000SA0
1990,11,1990-11-01,cpi_all,133.8,BLS CPI-U,CUUR0000SA0
1990,10,1990-10-01,cpi_all,133.5,BLS CPI-U,CUUR0000SA0
1990,9,1990-09-01,cpi_all,132.7,BLS CPI-U,CUUR0000SA0
1990,8,1990-08-01,cpi_all,131.6,BLS CPI-U,CUUR0000SA0
1990,7,1990-07-01,cpi_all,130.4,BLS CPI-U,CUUR0000SA0
1990,6,1990-06-01,cpi_all,129.9,BLS CPI-U,CUUR0000SA0
1990,5,1990-05-01,cpi_all,129.2,BLS CPI-U,CUUR0000SA0
1990,4,1990-04-01,cpi_all,128.9,BLS CPI-U,CUUR0000SA0
1990,3,1990-03-01,cpi_all,128.7,BLS CPI-U,CUUR0000SA0
1990,2,1990-02-01,cpi_all,128.0,BLS CPI-U,CUUR0000SA0
1990,1,1990-01-01,cpi_all,127.4,BLS CPI-U,CUUR0000SA0
1989,12,1989-12-01,cpi_all,126.1,BLS CPI-U,CUUR0000SA0
1989,11,1989-11-01,cpi_all,125.9,BLS CPI-U,CUUR0000SA0
1989,10,1989-10-01,cpi_all,125.6,BLS CPI-U,CUUR0000SA0
1989,9,1989-09-01,cpi_all,125.0,BLS CPI-U,CUUR0000SA0
1989,8,1989-08-01,cpi_all,124.6,BLS CPI-U,CUUR0000SA0
1989,7,1989-07-01,cpi_all,124.4,BLS CPI-U,CUUR0000SA0
1989,6,1989-06-01,cpi_all,124.1,BLS CPI-U,CUUR0000SA0
1989,5,1989-05-01,cpi_all,123.8,BLS CPI-U,CUUR0000SA0
1989,4,1989-04-01,cpi_all,123.1,BLS CPI-U,CUUR0000SA0
1989,3,1989-03-01,cpi_all,122.3,BLS CPI-U,CUUR0000SA0
1989,2,1989-02-01,cpi_all,121.6,BLS CPI-U,CUUR0000SA0
1989,1,1989-01-01,cpi_all,121.1,BLS CPI-U,CUUR0000SA0
1988,12,1988-12-01,cpi_all,120.5,BLS CPI-U,CUUR0000SA0
1988,11,1988-11-01,cpi_all,120.3,BLS CPI-U,CUUR0000SA0
1988,10,1988-10-01,cpi_all,120.2,BLS CPI-U,CUUR0000SA0
1988,9,1988-09-01,cpi_all,119.8,BLS CPI-U,CUUR0000SA0
1988,8,1988-08-01,cpi_all,119.0,BLS CPI-U,CUUR0000SA0
1988,7,1988-07-01,cpi_all,118.5,BLS CPI-U,CUUR0000SA0
1988,6,1988-06-01,cpi_all,118.0,BLS CPI-U,CUUR0000SA0
1988,5,1988-05-01,cpi_all,117.5,BLS CPI-U,CUUR0000SA0
1988,4,1988-04-01,cpi_all,117.1,BLS CPI-U,CUUR0000SA0
1988,3,1988-03-01,cpi_all,116.5,BLS CPI-U,CUUR0000SA0
1988,2,1988-02-01,cpi_all,116.0,BLS CPI-U,CUUR0000SA0
1988,1,1988-01-01,cpi_all,115.7,BLS CPI-U,CUUR0000SA0
1987,12,1987-12-01,cpi_all,115.4,BLS CPI-U,CUUR0000SA0
1987,11,1987-11-01,cpi_all,115.4,BLS CPI-U,CUUR0000SA0
1987,10,1987-10-01,cpi_all,115.3,BLS CPI-U,CUUR0000SA0
1987,9,1987-09-01,cpi_all,115.0,BLS CPI-U,CUUR0000SA0
1987,8,1987-08-01,cpi_all,114.4,BLS CPI-U,CUUR0000SA0
1987,7,1987-07-01,cpi_all,113.8,BLS CPI-U,CUUR0000SA0
1987,6,1987-06-01,cpi_all,113.5,BLS CPI-U,CUUR0000SA0
1987,5,1987-05-01,cpi_all,113.1,BLS CPI-U,CUUR0000SA0
1987,4,1987-04-01,cpi_all,112.7,BLS CPI-U,CUUR0000SA0
1987,3,1987-03-01,cpi_all,112.1,BLS CPI-U,CUUR0000SA0
1987,2,1987-02-01,cpi_all,111.6,BLS CPI-U,CUUR0000SA0
1987,1,1987-01-01,cpi_all,111.2,BLS CPI-U,CUUR0000SA0
1986,12,1986-12-01,cpi_all,110.5,BLS CPI-U,CUUR0000SA0
1986,11,1986-11-01,cpi_all,110.4,BLS CPI-U,CUUR0000SA0
1986,10,1986-10-01,cpi_all,110.3,BLS CPI-U,CUUR0000SA0
1986,9,1986-09-01,cpi_all,110.2,BLS CPI-U,CUUR0000SA0
1986,8,1986-08-01,cpi_all,109.7,BLS CPI-U,CUUR0000SA0
1986,7,1986-07-01,cpi_all,109.5,BLS CPI-U,CUUR0000SA0
1986,6,1986-06-01,cpi_all,109.5,BLS CPI-U,CUUR0000SA0
1986,5,1986-05-01,cpi_all,108.9,BLS CPI-U,CUUR0000SA0
1986,4,1986-04-01,cpi_all,108.6,BLS CPI-U,CUUR0000SA0
1986,3,1986-03-01,cpi_all,108.8,BLS CPI-U,CUUR0000SA0
1986,2,1986-02-01,cpi_all,109.3,BLS CPI-U,CUUR0000SA0
1986,1,1986-01-01,cpi_all,109.6,BLS CPI-U,CUUR0000SA0
1985,12,1985-12-01,cpi_all,109.3,BLS CPI-U,CUUR0000SA0
1985,11,1985-11-01,cpi_all,109.0,BLS CPI-U,CUUR0000SA0
1985,10,1985-10-01,cpi_all,108.7,BLS CPI-U,CUUR0000SA0
1985,9,1985-09-01,cpi_all,108.3,BLS CPI-U,CUUR0000SA0
1985,8,1985-08-01,cpi_all,108.0,BLS CPI-U,CUUR0000SA0
1985,7,1985-07-01,cpi_all,107.8,BLS CPI-U,CUUR0000SA0
1985,6,1985-06-01,cpi_all,107.6,BLS CPI-U,CUUR0000SA0
1985,5,1985-05-01,cpi_all,107.3,BLS CPI-U,CUUR0000SA0
1985,4,1985-04-01,cpi_all,106.9,BLS CPI-U,CUUR0000SA0
1985,3,1985-03-01,cpi_all,106.4,BLS CPI-U,CUUR0000SA0
1985,2,1985-02-01,cpi_all,106.0,BLS CPI-U,CUUR0000SA0
1985,1,1985-01-01,cpi_all,105.5,BLS CPI-U,CUUR0000SA0
1984,12,1984-12-01,cpi_all,105.3,BLS CPI-U,CUUR0000SA0
1984,11,1984-11-01,cpi_all,105.3,BLS CPI-U,CUUR0000SA0
1984,10,1984-10-01,cpi_all,105.3,BLS CPI-U,CUUR0000SA0
1984,9,1984-09-01,cpi_all,105.0,BLS CPI-U,CUUR0000SA0
1984,8,1984-08-01,cpi_all,104.5,BLS CPI-U,CUUR0000SA0
1984,7,1984-07-01,cpi_all,104.1,BLS CPI-U,CUUR0000SA0
1984,6,1984-06-01,cpi_all,103.7,BLS CPI-U,CUUR0000SA0
1984,5,1984-05-01,cpi_all,103.4,BLS CPI-U,CUUR0000SA0
1984,4,1984-04-01,cpi_all,103.1,BLS CPI-U,CUUR0000SA0
1984,3,1984-03-01,cpi_all,102.6,BLS CPI-U,CUUR0000SA0
1984,2,1984-02-01,cpi_all,102.4,BLS CPI-U,CUUR0000SA0
1984,1,1984-01-01,cpi_all,101.9,BLS CPI-U,CUUR0000SA0
2003,12,2003-12-01,cpi_all,184.3,BLS CPI-U,CUUR0000SA0
2003,11,2003-11-01,cpi_all,184.5,BLS CPI-U,CUUR0000SA0
2003,10,2003-10-01,cpi_all,185.0,BLS CPI-U,CUUR0000SA0
2003,9,2003-09-01,cpi_all,185.2,BLS CPI-U,CUUR0000SA0
2003,8,2003-08-01,cpi_all,184.6,BLS CPI-U,CUUR0000SA0
2003,7,2003-07-01,cpi_all,183.9,BLS CPI-U,CUUR0000SA0
2003,6,2003-06-01,cpi_all,183.7,BLS CPI-U,CUUR0000SA0
2003,5,2003-05-01,cpi_all,183.5,BLS CPI-U,CUUR0000SA0
2003,4,2003-04-01,cpi_all,183.8,BLS CPI-U,CUUR0000SA0
