year,category,source,series_id,value,base_value,price_index_1984_100,label,class,class_label,inflation,post2019_cum_change
1984,apparel,BLS CPI-U,CUUR0000SAA,102.03333333333336,102.03333333333336,100.0,Apparel,low_price_global,Low-price tradable/global goods,,-17.74932487807497
1985,apparel,BLS CPI-U,CUUR0000SAA,105.025,102.03333333333336,102.93204835021233,Apparel,low_price_global,Low-price tradable/global goods,2.932048350212324,-15.337695315124067
1986,apparel,BLS CPI-U,CUUR0000SAA,105.91666666666669,102.03333333333336,103.8059457693564,Apparel,low_price_global,Low-price tradable/global goods,0.8490042053479252,-14.618908788004992
1987,apparel,BLS CPI-U,CUUR0000SAA,110.575,102.03333333333336,108.3714472394642,Apparel,low_price_global,Low-price tradable/global goods,4.398111723052711,-10.863753006139909
1988,apparel,BLS CPI-U,CUUR0000SAA,115.375,102.03333333333336,113.07579222476312,Apparel,low_price_global,Low-price tradable/global goods,4.340945059914092,-6.994397495667126
1989,apparel,BLS CPI-U,CUUR0000SAA,118.58333333333331,102.03333333333336,116.22018948056186,Apparel,low_price_global,Low-price tradable/global goods,2.7807872878295337,-4.4081095242573864
1990,apparel,BLS CPI-U,CUUR0000SAA,124.08333333333331,102.03333333333336,121.61058477621688,Apparel,low_price_global,Low-price tradable/global goods,4.638088545326791,0.02552699815936421
1991,apparel,BLS CPI-U,CUUR0000SAA,128.70833333333334,102.03333333333336,126.1434171839268,Apparel,low_price_global,Low-price tradable/global goods,3.7273337810611373,3.7538122556461717
1992,apparel,BLS CPI-U,CUUR0000SAA,131.875,102.03333333333336,129.24697811172817,Apparel,low_price_global,Low-price tradable/global goods,2.4603431531239783,6.306512071583081
1993,apparel,BLS CPI-U,CUUR0000SAA,133.65833333333333,102.03333333333336,130.99477295001628,Apparel,low_price_global,Low-price tradable/global goods,1.3522906793048683,7.74408512582121
1994,apparel,BLS CPI-U,CUUR0000SAA,133.4,102.03333333333336,130.74158771643252,Apparel,low_price_global,Low-price tradable/global goods,-0.1932788827233356,7.535838561889552
1995,apparel,BLS CPI-U,CUUR0000SAA,131.95833333333334,102.03333333333336,129.32865076772296,Apparel,low_price_global,Low-price tradable/global goods,-1.0807096451774023,6.373688382528808
1996,apparel,BLS CPI-U,CUUR0000SAA,131.70000000000002,102.03333333333336,129.07546553413914,Apparel,low_price_global,Low-price tradable/global goods,-0.19576886643513092,6.165441818597106
1997,apparel,BLS CPI-U,CUUR0000SAA,132.85,102.03333333333336,130.202548186867,Apparel,low_price_global,Low-price tradable/global goods,0.8731966590736606,7.092474909647861
1998,apparel,BLS CPI-U,CUUR0000SAA,133.025,102.03333333333336,130.37406076445603,Apparel,low_price_global,Low-price tradable/global goods,0.13172751223184953,7.233545162633859
1999,apparel,BLS CPI-U,CUUR0000SAA,131.29166666666666,102.03333333333336,128.67526951976473,Apparel,low_price_global,Low-price tradable/global goods,-1.3030132180668064,5.8362778949631045
2000,apparel,BLS CPI-U,CUUR0000SAA,129.57500000000002,102.03333333333336,126.99281280627244,Apparel,low_price_global,Low-price tradable/global goods,-1.3075214217708409,4.452445889481549
2001,apparel,BLS CPI-U,CUUR0000SAA,127.26666666666668,102.03333333333336,124.73048023521724,Apparel,low_price_global,Low-price tradable/global goods,-1.7814650459836545,2.5916620762854503
2002,apparel,BLS CPI-U,CUUR0000SAA,124.025,102.03333333333336,121.55341391702056,Apparel,low_price_global,Low-price tradable/global goods,-2.54714510214773,-0.021496419502609054
2003,apparel,BLS CPI-U,CUUR0000SAA,120.875,102.03333333333336,118.46618752041812,Apparel,low_price_global,Low-price tradable/global goods,-2.5398105220721834,-2.560760973250409
2004,apparel,BLS CPI-U,CUUR0000SAA,120.43333333333334,102.03333333333336,118.03332244364584,Apparel,low_price_global,Low-price tradable/global goods,-0.3653912443984608,-2.9167954212626412
2005,apparel,BLS CPI-U,CUUR0000SAA,119.54166666666669,102.03333333333336,117.1594250245018,Apparel,low_price_global,Low-price tradable/global goods,-0.7403819540547807,-3.6355819483816942
2006,apparel,BLS CPI-U,CUUR0000SAA,119.45,102.03333333333336,117.06958510290752,Apparel,low_price_global,Low-price tradable/global goods,-0.0766817706518208,-3.709475890421998
2007,apparel,BLS CPI-U,CUUR0000SAA,118.99825,102.03333333333336,116.62683763475984,Apparel,low_price_global,Low-price tradable/global goods,-0.3781917120134093,-4.073638672058699
2008,apparel,BLS CPI-U,CUUR0000SAA,118.90691666666667,102.03333333333336,116.53732440378958,Apparel,low_price_global,Low-price tradable/global goods,-0.07675182898346788,-4.147263908855181
2009,apparel,BLS CPI-U,CUUR0000SAA,120.07816666666668,102.03333333333336,117.68523358379612,Apparel,low_price_global,Low-price tradable/global goods,0.9850141882691066,-3.2031008585132525
2010,apparel,BLS CPI-U,CUUR0000SAA,119.50308333333334,102.03333333333336,117.1216105847762,Apparel,low_price_global,Low-price tradable/global goods,-0.47892414524426385,-3.6666845803495662
2011,apparel,BLS CPI-U,CUUR0000SAA,122.11066666666666,102.03333333333336,119.67722966350864,Apparel,low_price_global,Low-price tradable/global goods,2.1820218027847282,-1.564670634547416
2012,apparel,BLS CPI-U,CUUR0000SAA,126.26458333333332,102.03333333333336,123.74836654688006,Apparel,low_price_global,Low-price tradable/global goods,3.4017639736632077,1.783866937163281
2013,apparel,BLS CPI-U,CUUR0000SAA,127.41133333333332,102.03333333333336,124.87226396602414,Apparel,low_price_global,Low-price tradable/global goods,0.9082119227151964,2.7082801520871724
2014,apparel,BLS CPI-U,CUUR0000SAA,127.51425,102.03333333333336,124.9731296961777,Apparel,low_price_global,Low-price tradable/global goods,0.08077512727806546,2.7912428961051283
2015,apparel,BLS CPI-U,CUUR0000SAA,125.9025,102.03333333333336,123.3934988565828,Apparel,low_price_global,Low-price tradable/global goods,-1.2639763791105652,1.4919858661041951
2016,apparel,BLS CPI-U,CUUR0000SAA,126.04533333333332,102.03333333333336,123.53348578895782,Apparel,low_price_global,Low-price tradable/global goods,0.11344757517388615,1.607126063065123
2017,apparel,BLS CPI-U,CUUR0000SAA,125.612,102.03333333333336,123.108787977785,Apparel,low_price_global,Low-price tradable/global goods,-0.34379165168088033,1.2578092461474455
2018,apparel,BLS CPI-U,CUUR0000SAA,125.65441666666668,102.03333333333336,123.15035935968636,Apparel,low_price_global,Low-price tradable/global goods,0.03376800518000156,1.2920019884188116
2019,apparel,BLS CPI-U,CUUR0000SAA,124.05166666666666,102.03333333333336,121.57954916693888,Apparel,low_price_global,Low-price tradable/global goods,-1.275522216025049,0.0
2020,apparel,BLS CPI-U,CUUR0000SAA,118.07866666666666,102.03333333333336,115.72557987585752,Apparel,low_price_global,Low-price tradable/global goods,-4.814929263344581,-4.814929263344581
2021,apparel,BLS CPI-U,CUUR0000SAA,120.99266666666666,102.03333333333336,118.58150931068276,Apparel,low_price_global,Low-price tradable/global goods,2.467846294560716,-2.4659080221950402
2022,apparel,BLS CPI-U,CUUR0000SAA,127.08075,102.03333333333336,124.54826853969288,Apparel,low_price_global,Low-price tradable/global goods,5.031778785491126,2.4417917265655564
2023,apparel,BLS CPI-U,CUUR0000SAA,130.57866666666666,102.03333333333336,127.97647827507348,Apparel,low_price_global,Low-price tradable/global goods,2.7525149691567385,5.261517378511638
2024,apparel,BLS CPI-U,CUUR0000SAA,131.48266666666666,102.03333333333336,128.86246324730476,Apparel,low_price_global,Low-price tradable/global goods,0.6923029795576463,5.9902459996506785
2025,apparel,BLS CPI-U,CUUR0000SAA,131.31081818181818,102.03333333333336,128.69403938106973,Apparel,low_price_global,Low-price tradable/global goods,-0.13070048638741394,5.851716232605919
1984,cpi_all,BLS CPI-U,CUUR0000SA0,103.88333333333333,103.88333333333333,100.0,CPI All Items,official_cpi,Official CPI baseline,,-59.366196104226724
1985,cpi_all,BLS CPI-U,CUUR0000SA0,107.56666666666666,103.88333333333333,103.5456441520937,CPI All Items,official_cpi,Official CPI baseline,3.5456441520937076,-57.925466012623005
1986,cpi_all,BLS CPI-U,CUUR0000SA0,109.60833333333332,103.88333333333333,105.51098989250762,CPI All Items,official_cpi,Official CPI baseline,1.8980477223427217,-57.126871278589284
1987,cpi_all,BLS CPI-U,CUUR0000SA0,113.625,103.88333333333333,109.37750681854644,CPI All Items,official_cpi,Official CPI baseline,3.664563217516914,-55.55575837326578
1988,cpi_all,BLS CPI-U,CUUR0000SA0,118.25833333333333,103.88333333333333,113.83763837638377,CPI All Items,official_cpi,Official CPI baseline,4.0777411074440995,-53.743437262560676
