"industry_code","industry_name","local_reproduction_core","local_reproduction_extended","local_reproduction_group"
"61","Educational services",1,1,"Core local reproduction"
"621","Ambulatory health care services",1,1,"Core local reproduction"
"622","Hospitals",1,1,"Core local reproduction"
"623","Nursing and residential care facilities",1,1,"Core local reproduction"
"624","Social assistance",1,1,"Core local reproduction"
"HS","Housing",1,1,"Core local reproduction"
"ORE","Other real estate",1,1,"Core local reproduction"
"485","Transit and ground passenger transportation",0,1,"Extended local services"
"721","Accommodation",0,1,"Extended local services"
"722","Food services and drinking places",0,1,"Extended local services"
"111CA","Farms",0,0,"Other industries"
"113FF","Forestry, fishing, and related activities",0,0,"Other industries"
"211","Oil and gas extraction",0,0,"Other industries"
"212","Mining, except oil and gas",0,0,"Other industries"
"213","Support activities for mining",0,0,"Other industries"
"22","Utilities",0,0,"Other industries"
"23","Construction",0,0,"Other industries"
"311FT","Food and beverage and tobacco products",0,0,"Other industries"
"313TT","Textile mills and textile product mills",0,0,"Other industries"
"315AL","Apparel and leather and allied products",0,0,"Other industries"
"321","Wood products",0,0,"Other industries"
"322","Paper products",0,0,"Other industries"
"323","Printing and related support activities",0,0,"Other industries"
"324","Petroleum and coal products",0,0,"Other industries"
"325","Chemical products",0,0,"Other industries"
"326","Plastics and rubber products",0,0,"Other industries"
"327","Nonmetallic mineral products",0,0,"Other industries"
"331","Primary metals",0,0,"Other industries"
"332","Fabricated metal products",0,0,"Other industries"
"333","Machinery",0,0,"Other industries"
"334","Computer and electronic products",0,0,"Other industries"
"335","Electrical equipment, appliances, and components",0,0,"Other industries"
"3361MV","Motor vehicles, bodies and trailers, and parts",0,0,"Other industries"
"3364OT","Other transportation equipment",0,0,"Other industries"
"337","Furniture and related products",0,0,"Other industries"
"339","Miscellaneous manufacturing",0,0,"Other industries"
"42","Wholesale trade",0,0,"Other industries"
"441","Motor vehicle and parts dealers",0,0,"Other industries"
"445","Food and beverage stores",0,0,"Other industries"
"452","General merchandise stores",0,0,"Other industries"
"481","Air transportation",0,0,"Other industries"
"482","Rail transportation",0,0,"Other industries"
"483","Water transportation",0,0,"Other industries"
"484","Truck transportation",0,0,"Other industries"
"486","Pipeline transportation",0,0,"Other industries"
"487OS","Other transportation and support activities",0,0,"Other industries"
"493","Warehousing and storage",0,0,"Other industries"
"4A0","Other retail",0,0,"Other industries"
"511","Publishing industries, except internet (includes software)",0,0,"Other industries"
"512","Motion picture and sound recording industries",0,0,"Other industries"
"513","Broadcasting and telecommunications",0,0,"Other industries"
"514","Data processing, internet publishing, and other information services",0,0,"Other industries"
"521CI","Federal Reserve banks, credit intermediation, and related activities",0,0,"Other industries"
"523","Securities, commodity contracts, and investments",0,0,"Other industries"
"524","Insurance carriers and related activities",0,0,"Other industries"
"525","Funds, trusts, and other financial vehicles",0,0,"Other industries"
"532RL","Rental and leasing services and lessors of intangible assets",0,0,"Other industries"
"5411","Legal services",0,0,"Other industries"
"5412OP","Miscellaneous professional, scientific, and technical services",0,0,"Other industries"
"5415","Computer systems design and related services",0,0,"Other industries"
"55","Management of companies and enterprises",0,0,"Other industries"
"561","Administrative and support services",0,0,"Other industries"
"562","Waste management and remediation services",0,0,"Other industries"
"711AS","Performing arts, spectator sports, museums, and related activities",0,0,"Other industries"
"713","Amusements, gambling, and recreation industries",0,0,"Other industries"
"81","Other services, except government",0,0,"Other industries"
