year,local_to_cheap_ratio,basic_to_cheap_ratio
1984,1.0,1.0
1985,1.0373785408580374,1.0128731300759402
1986,1.097992420705336,1.0083013051940695
1987,1.1207752996860834,1.0175957800888122
1988,1.1442142676874527,1.0290037460823158
1989,1.1812095312348603,1.06618193708711
1990,1.237550244026955,1.1225186712657205
1991,1.2755265892913976,1.140294537083942
1992,1.3000960251198987,1.1477020084554714
1993,1.3104360111150255,1.150021787648439
1994,1.3214302487924463,1.1536144132893638
1995,1.32532079942333,1.153575587555473
1996,1.355166407186916,1.182614834645139
1997,1.4020580730305665,1.2157345906915469
1998,1.4499656853763163,1.2250188138009097
1999,1.5015176582529781,1.2643769421083935
2000,1.5510238649074817,1.3295402473880205
2001,1.6180302172558252,1.3742340543097036
2002,1.725633479959491,1.4277903150883555
2003,1.8365522422124416,1.5346604446430623
2004,1.9395445806388603,1.640418473098806
2005,1.9836312768465854,1.7180687724219323
2006,2.0564038578157233,1.7997257774424895
2007,2.1685877759553622,1.895492707477114
2008,2.2572041327314665,2.022984708745385
2009,2.323826574390482,1.9654391942951879
2010,2.30081328454354,1.9922036434661807
2011,2.304544669226384,2.0700924374306156
2012,2.3404073787555135,2.092293404833713
2013,2.397900744025565,2.1177261045191678
2014,2.4758202454759983,2.1603486736509794
2015,2.567807006312366,2.1210374178825995
2016,2.686185698875005,2.1537777687267243
2017,2.8070691326578423,2.2543780958417963
2018,2.8886376545908563,2.331517758425691
2019,2.968797488584915,2.357588102408272
2020,3.0592880244847604,2.364723101251274
2021,2.83293388294425,2.287684744329713
2022,2.717048806773734,2.3027229340231203
2023,2.8436260323003966,2.344778892791722
2024,3.020689881407449,2.4464989661067693
2025,3.080176141448885,2.468627392999273
