industry_code,industry_name,tradable_goods_input_exposure,goods_supply_chain_input_exposure,tradable_goods_downstream_exposure,goods_supply_chain_downstream_exposure,direct_tariff_max,output_2025
324,Petroleum and coal products,0.9018186700356333,0.9237052183042319,0.17598544548005107,0.45049829464431584,0.25,597248
3361MV,"Motor vehicles, bodies and trailers, and parts",0.8964304431851676,0.9119996560647246,0.6895640956348377,0.7438877019799002,0.25,649956
111CA,Farms,0.8744282775613532,0.9199663936464388,0.9493484542827545,0.9515198782485427,0.25,409164
311FT,Food and beverage and tobacco products,0.8617993305344369,0.8882049245432873,0.5121630935969957,0.5210759614013405,0.1920281204071076,956185
113FF,"Forestry, fishing, and related activities",0.8431289191199909,0.8522691040493138,0.8271871666419109,0.8272006697543783,0.0,50378
321,Wood products,0.8407824556295236,0.8960784573236087,0.3556695008762251,0.43023301096904004,0.0,112245
3364OT,Other transportation equipment,0.8315808857379607,0.8522542430101576,0.5787353773001898,0.6305737114938601,0.232780741506627,328385
335,"Electrical equipment, appliances, and components",0.820185078889526,0.8586008483949088,0.34723101800898915,0.3630142461003068,0.2255581462002252,131674
313TT,Textile mills and textile product mills,0.8083268107652467,0.8715455475946763,0.5012917885824566,0.5606362447861545,0.0,49906
326,Plastics and rubber products,0.7926354715521815,0.8698095422245844,0.44363926376530566,0.5305143321813377,0.0,249604
333,Machinery,0.7913860672048376,0.8155342758578732,0.5456883202700498,0.597214316138098,0.2101789023418845,390876
23,Construction,0.789974396981538,0.8027117382460319,0.10018144327210302,0.15340914643481887,0.0,1729982
337,Furniture and related products,0.7881880236513474,0.8238248521790736,0.1235040689325036,0.14271442545840532,0.2482620178455157,74141
325,Chemical products,0.7845000417676042,0.8379532945358682,0.6865140705787299,0.6938614628015475,0.0863492654137004,801665
332,Fabricated metal products,0.7595634661192459,0.794232888173625,0.5034211778626642,0.532248245467368,0.206392265782565,376651
322,Paper products,0.7568140875166687,0.8413438667363337,0.6277453380148781,0.6813994817089235,0.1652183454397918,190820
