model_set,model,term,estimate,std_error,t_value,p_value,nobs
real_wage,Own shock,own_tariff_shock_cum01,-0.0048770003275885035,0.031946296130696106,-0.1526624653961797,0.8791602056355279,559
real_wage,Upstream shock,upstream_tariff_shock_cum01,-0.057463042275430386,0.03456706218778477,-1.6623640725747457,0.10148797862228848,559
real_wage,Downstream shock,downstream_tariff_shock_cum01,0.06507552373637317,0.05775702929772643,1.1267117531430035,0.2642064024999499,559
real_wage,Own + upstream + downstream,own_tariff_shock_cum01,0.027853090246062962,0.0675961317742973,0.41205154074591294,0.6817228435375793,559
real_wage,Own + upstream + downstream,upstream_tariff_shock_cum01,-0.16652710643911758,0.1151055172277735,-1.4467343568735271,0.15300842405225454,559
real_wage,Own + upstream + downstream,downstream_tariff_shock_cum01,0.10462842100086116,0.054499664377929496,1.919799363814653,0.05948726336825784,559
real_wage,Strong upstream,upstream_tariff_shock_5pct_cum01,-0.0625895438776147,0.033853374931533,-1.848842072738667,0.06924987986249434,559
real_wage,Strong own + up + down,own_tariff_shock_cum01,0.03888440121315632,0.06866563935355029,0.5662861597042108,0.5732434408140308,559
real_wage,Strong own + up + down,upstream_tariff_shock_5pct_cum01,-0.1850619500026941,0.12040334488621593,-1.5370166848569042,0.12937732402494426,559
real_wage,Strong own + up + down,downstream_tariff_shock_5pct_cum01,0.10316198140953525,0.059506455372730076,1.7336267260982094,0.08795498662815163,559
price_wage_gap,Price-wage gap: own,own_tariff_shock_cum01,0.0048770003275880255,0.03194629613069614,0.15266246539616457,0.8791602056355399,559
price_wage_gap,Price-wage gap: upstream,upstream_tariff_shock_cum01,0.057463042275429865,0.03456706218778485,1.6623640725747266,0.10148797862229242,559
price_wage_gap,Price-wage gap: own + up + down,own_tariff_shock_cum01,-0.027853090246063642,0.06759613177429727,-0.41205154074592315,0.6817228435375717,559
price_wage_gap,Price-wage gap: own + up + down,upstream_tariff_shock_cum01,0.16652710643911744,0.11510551722777344,1.4467343568735265,0.15300842405225465,559
price_wage_gap,Price-wage gap: own + up + down,downstream_tariff_shock_cum01,-0.10462842100086013,0.05449966437792994,-1.9197993638146187,0.059487263368262294,559
price_wage_gap,Price-wage gap: strong upstream,upstream_tariff_shock_5pct_cum01,0.06258954387761426,0.03385337493153306,1.8488420727386508,0.0692498798624967,559
input_price_wage_gap,Input price-wage gap: upstream,upstream_tariff_shock_cum01,0.06319788372381739,0.03663735164386196,1.724957751808604,0.08951718623229493,559
input_price_wage_gap,Input price-wage gap: strong upstream,upstream_tariff_shock_5pct_cum01,0.06704545744526863,0.03752081670875937,1.7868869424054041,0.07884437997340725,559
input_price_wage_gap,Input price-wage gap: own + up + down,own_tariff_shock_cum01,-0.04917649786799604,0.047445880780075396,-1.0364756025068336,0.30400599210706486,559
input_price_wage_gap,Input price-wage gap: own + up + down,upstream_tariff_shock_cum01,0.1349662835610879,0.08762391231026298,1.5402905440148889,0.12857823017584563,559
input_price_wage_gap,Input price-wage gap: own + up + down,downstream_tariff_shock_cum01,0.0071841471614439425,0.021022092151551174,0.3417427299648594,0.7337001474441243,559
output_price,Price: own,own_tariff_shock_cum01,0.008268700420886173,0.03320152003599871,0.24904583922425372,0.8041485116109899,559
output_price,Price: upstream,upstream_tariff_shock_cum01,0.0740620180663842,0.029328835428886934,2.525228737634706,0.014133581351540482,559
output_price,Price: own + up + down,own_tariff_shock_cum01,-0.033326927961851424,0.07035528492058243,-0.47369473379961585,0.637381428623917,559
output_price,Price: own + up + down,upstream_tariff_shock_cum01,0.1974292964870133,0.11709525187313699,1.6860572339936686,0.09681142411923341,559
output_price,Price: own + up + down,downstream_tariff_shock_cum01,-0.11386145456935637,0.05602677296955167,-2.032268655402223,0.04641604687444028,559
output_price,Price: strong upstream,upstream_tariff_shock_5pct_cum01,0.07298533005237207,0.027939911132765883,2.6122248458686115,0.0112706883160613,559
