model_set,model,term,estimate,std_error,t_value,p_value
prelim,Price: network,network_tariff_shock,0.1114350873623788,0.0627497021786663,1.7758663944745319,0.08043554164301349
prelim,Price: lags,network_tariff_shock,0.08990077423793819,0.18388693335922407,0.48889158460387483,0.6265640256335954
prelim,Price: lags,lag1_network_tariff_shock,-0.1262939063159259,0.193506241581204,-0.6526606340133336,0.5162767892093699
prelim,Price: lags,lag2_network_tariff_shock,0.2205280902363029,0.15947479250782642,1.3828398003745965,0.17144631232615037
prelim,Price: excl own,network_tariff_shock_excl_own,0.15594423451605383,0.14854102071965888,1.0498395241969356,0.2976796304526585
prelim,Nominal wage,network_tariff_shock,0.00854675643642037,0.039488693745127985,0.21643553194197127,0.8293588359421227
prelim,Real wage,network_tariff_shock,-0.11984556068656012,0.07527153522534043,-1.5921763828488207,0.11643123511130252
prelim,Real wage x post2021,network_tariff_shock,-0.17169013001717764,0.14590802398614577,-1.1767010841945191,0.24381281745632197
prelim,Real wage x post2021,network_x_post2021,0.05852712758194206,0.13544178263159962,0.4321201806767067,0.6671532614350137
prelim,Real wage excl own x post2021,network_tariff_shock_excl_own,-0.24091625125966223,0.4344923362285413,-0.5544775619078842,0.5812467635617609
prelim,Real wage excl own x post2021,network_excl_own_x_post2021,0.10795597018392569,0.3207650256756171,0.336557796338742,0.737586797785778
